 2459465.5 1   26. E   0.0
 2459466.5 1   26. E   0.0
 2459467.5 1   26. E   0.0
 2459468.5 1   27. E   0.1
 2459469.5 1   27. E   0.1
 2459470.5 1   27. E   0.1
 2459471.5 1   27. E   0.1
 2459472.5 1   27. E   0.1
 2459473.5 1   27. E   0.1
 2459474.5 1   27. E   0.1
 2459475.5 1   26. E   0.1
 2459476.5 1   26. E   0.2
 2459477.5 1   26. E   0.2
 2459478.5 1   26. E   0.2
 2459479.5 1   25. E   0.3
 2459480.5 1   25. E   0.3
 2459481.5 1   24. E   0.4
 2459482.5 1   23. E   0.5
 2459483.5 1   23. E   0.6
 2459484.5 1   22. E   0.7
 2459485.5 1   21. E   0.9
 2459486.5 1   20. E   1.0
 2459487.5 1   18. E   1.3
 2459488.5 1   17. E   1.5
 2459489.5 1   15. E   1.8
 2459490.5 1   14. E   2.2
 2459491.5 1   12. E   2.6
 2459492.5 1   10. E   3.1
 2459493.5 1    8. E   3.6
 2459494.5 1    6. E   4.3
 2459495.5 1    4. E   5.0
 2459496.5 1    3. E  99.0
 2459497.5 1    2. W  99.0
 2459498.5 1    3. W  99.0
 2459499.5 1    5. W   4.5
 2459500.5 1    7. W   3.7
 2459501.5 1    9. W   3.0
 2459502.5 1   11. W   2.3
 2459503.5 1   12. W   1.8
 2459504.5 1   13. W   1.3
 2459505.5 1   15. W   0.8
 2459506.5 1   16. W   0.5
 2459507.5 1   17. W   0.2
 2459508.5 1   17. W  -0.1
 2459509.5 1   18. W  -0.3
 2459510.5 1   18. W  -0.4
 2459511.5 1   18. W  -0.5
 2459512.5 1   18. W  -0.6
 2459513.5 1   18. W  -0.7
 2459514.5 1   18. W  -0.7
 2459515.5 1   18. W  -0.8
 2459516.5 1   18. W  -0.8
 2459517.5 1   17. W  -0.8
 2459518.5 1   17. W  -0.8
 2459519.5 1   17. W  -0.8
 2459520.5 1   16. W  -0.8
 2459521.5 1   16. W  -0.8
 2459522.5 1   15. W  -0.9
 2459523.5 1   14. W  -0.9
 2459524.5 1   14. W  -0.9
 2459525.5 1   13. W  -0.9
 2459526.5 1   13. W  -0.9
 2459527.5 1   12. W  -0.9
 2459528.5 1   11. W  -0.9
 2459529.5 1   11. W  -0.9
 2459530.5 1   10. W  -0.9
 2459531.5 1   10. W  -0.9
 2459532.5 1    9. W  -0.9
 2459533.5 1    8. W  -1.0
 2459534.5 1    8. W  -1.0
 2459535.5 1    7. W  -1.0
 2459536.5 1    6. W  -1.0
 2459537.5 1    6. W  -1.1
 2459538.5 1    5. W  -1.1
 2459539.5 1    5. W  -1.1
 2459540.5 1    4. W  -1.1
 2459541.5 1    4. W  -1.2
 2459542.5 1    3. W  -1.2
 2459543.5 1    2. W  -1.3
 2459544.5 1    2. W  -1.3
 2459545.5 1    1. W  -1.3
 2459546.5 1    1. W  99.0
 2459547.5 1    1. W  99.0
 2459548.5 1    1. E  99.0
 2459549.5 1    1. E  -1.3
 2459550.5 1    2. E  -1.3
 2459551.5 1    2. E  -1.2
 2459552.5 1    3. E  -1.2
 2459553.5 1    3. E  -1.1
 2459554.5 1    4. E  -1.1
 2459555.5 1    5. E  -1.0
 2459556.5 1    5. E  -1.0
 2459557.5 1    6. E  -1.0
 2459558.5 1    6. E  -0.9
 2459559.5 1    7. E  -0.9
 2459560.5 1    7. E  -0.9
 2459561.5 1    8. E  -0.8
 2459562.5 1    8. E  -0.8
 2459563.5 1    9. E  -0.8
 2459564.5 1   10. E  -0.8
 2459565.5 1   10. E  -0.8
 2459566.5 1   11. E  -0.8
 2459567.5 1   11. E  -0.7
 2459568.5 1   12. E  -0.7
 2459569.5 1   12. E  -0.7
 2459570.5 1   13. E  -0.7
 2459571.5 1   13. E  -0.7
 2459572.5 1   14. E  -0.7
 2459573.5 1   14. E  -0.7
 2459574.5 1   15. E  -0.7
 2459575.5 1   15. E  -0.7
 2459576.5 1   16. E  -0.7
 2459577.5 1   16. E  -0.7
 2459578.5 1   17. E  -0.7
 2459579.5 1   17. E  -0.7
 2459580.5 1   18. E  -0.7
 2459581.5 1   18. E  -0.7
 2459582.5 1   18. E  -0.7
 2459583.5 1   19. E  -0.7
 2459584.5 1   19. E  -0.7
 2459585.5 1   19. E  -0.7
 2459586.5 1   19. E  -0.7
 2459587.5 1   19. E  -0.6
 2459588.5 1   19. E  -0.5
 2459589.5 1   19. E  -0.5
 2459590.5 1   19. E  -0.3
 2459591.5 1   18. E  -0.2
 2459592.5 1   17. E   0.0
 2459593.5 1   17. E   0.3
 2459204.5 2   23. W  -3.9
 2459205.5 2   23. W  -3.9
 2459206.5 2   22. W  -3.9
 2459207.5 2   22. W  -3.9
 2459208.5 2   22. W  -3.9
 2459209.5 2   22. W  -3.9
 2459210.5 2   22. W  -3.9
 2459211.5 2   21. W  -3.9
 2459212.5 2   21. W  -3.9
 2459213.5 2   21. W  -3.9
 2459214.5 2   21. W  -3.9
 2459215.5 2   20. W  -3.9
 2459216.5 2   20. W  -3.9
 2459217.5 2   20. W  -3.9
 2459218.5 2   20. W  -3.9
 2459219.5 2   19. W  -3.9
 2459220.5 2   19. W  -3.9
 2459221.5 2   19. W  -3.9
 2459222.5 2   19. W  -3.9
 2459223.5 2   19. W  -3.9
 2459224.5 2   18. W  -3.9
 2459225.5 2   18. W  -3.9
 2459226.5 2   18. W  -3.9
 2459227.5 2   18. W  -3.9
 2459228.5 2   17. W  -3.9
 2459229.5 2   17. W  -3.9
 2459230.5 2   17. W  -3.9
 2459231.5 2   17. W  -3.9
 2459232.5 2   16. W  -3.9
 2459233.5 2   16. W  -3.9
 2459234.5 2   16. W  -3.9
 2459235.5 2   16. W  -3.9
 2459236.5 2   15. W  -3.9
 2459237.5 2   15. W  -3.9
 2459238.5 2   15. W  -3.9
 2459239.5 2   15. W  -3.9
 2459240.5 2   15. W  -3.9
 2459241.5 2   14. W  -3.9
 2459242.5 2   14. W  -3.9
 2459243.5 2   14. W  -3.9
 2459244.5 2   14. W  -3.9
 2459245.5 2   13. W  -3.9
 2459246.5 2   13. W  -3.9
 2459247.5 2   13. W  -3.9
 2459248.5 2   13. W  -3.9
 2459249.5 2   12. W  -3.9
 2459250.5 2   12. W  -3.9
 2459251.5 2   12. W  -3.9
 2459252.5 2   12. W  -3.9
 2459253.5 2   11. W  -3.9
 2459254.5 2   11. W  -3.9
 2459255.5 2   11. W  -3.9
 2459256.5 2   11. W  -3.9
 2459257.5 2   10. W  -3.9
 2459258.5 2   10. W  -3.9
 2459259.5 2   10. W  -3.9
 2459260.5 2   10. W  -3.9
 2459261.5 2   10. W  -3.9
 2459262.5 2    9. W  -3.9
 2459263.5 2    9. W  -3.9
 2459264.5 2    9. W  -3.9
 2459265.5 2    9. W  -3.9
 2459266.5 2    8. W  -3.9
 2459267.5 2    8. W  -3.9
 2459268.5 2    8. W  -3.9
 2459269.5 2    8. W  -3.9
 2459270.5 2    7. W  -3.9
 2459271.5 2    7. W  -3.9
 2459272.5 2    7. W  -3.9
