84 & $\gamma$ Draconis & $Eltanin$ & $ 2.2$ &                                   11 & 17 &  9 & 15 &  7 & 13 &  5 & 15 &  3 & 13 &  1 & 15 & 23 & 12 \\[1.4ex]
85 & $\epsilon$ Sagitarii & $Kaus\,Australis$ & $ 1.9$ &                        11 & 45 &  9 & 43 &  7 & 41 &  5 & 43 &  3 & 42 &  1 & 44 & 23 & 41 \\
86 & $\alpha$ Lyrae & $Vega$ & $ 0.0$ &                                         11 & 57 &  9 & 55 &  7 & 53 &  5 & 55 &  3 & 54 &  1 & 56 & 23 & 53 \\
87 & $\sigma$ Sagitarii & $Nunki$ & $ 2.0$ &                                    12 & 20 & 10 & 14 &  8 & 12 &  6 & 14 &  4 & 12 &  2 & 14 &  0 & 12 \\
88 & $\alpha$ Aquilae & $Altair$ & $ 0.8$ &                                     13 & 15 & 11 & 09 &  9 & 07 &  7 & 09 &  5 & 08 &  3 & 10 &  1 & 07 \\
90 & $\alpha$ Pavonis & $Peacock$ & $ 1.9$ &                                    13 & 51 & 11 & 45 &  9 & 43 &  7 & 45 &  5 & 43 &  3 & 45 &  1 & 42 \\[1.4ex]
91 & $\alpha$ Cygni & $Deneb$ & $ 1.3$ &                                        14 & 05 & 12 & 03 &  9 & 58 &  8 & 00 &  5 & 58 &  4 & 00 &  1 & 57 \\
93 & $\epsilon$ Pegasi & $Enif$ & $*2.1$ &                                      15 & 08 & 13 & 06 & 11 & 00 &  9 & 03 &  7 & 01 &  5 & 03 &  3 & 00 \\
95 & $\alpha$ Gruis & $Al\,Na$'$ir$ & $ 1.7$ &                                  15 & 32 & 13 & 31 & 11 & 25 &  9 & 27 &  7 & 25 &  5 & 27 &  3 & 24 \\
97 & $\alpha$ Piscis Australis & $Fomalhaut$ & $ 1.2$ &                         16 & 22 & 14 & 20 & 12 & 18 & 10 & 16 &  8 & 14 &  6 & 16 &  4 & 13 \\
99 & $\alpha$ Pegasi & $Markab$ & $ 2.5$ &                                      16 & 29 & 14 & 27 & 12 & 25 & 10 & 23 &  8 & 21 &  6 & 23 &  4 & 20 \\
