 21   17 56  17 18  16 50  16 28  16 10  15 54  15 28  15  5  14 45  14 24  14  1  13 36  13 21  13  3  13  3  12 55  12 47  12 37  12 27  12 16  12  3  11 49  11 32  11 11  10 46  10 11   9  6  ++ ++
 22   19  7  18 24  17 54  17 30  17 11  16 54  16 26  16  2  15 40  15 17  14 53  14 26  14  9  13 50  13 50  13 41  13 32  13 22  13 10  12 57  12 43  12 26  12  6  11 41  11  6  10  3  ++ ++  ++ ++
 23   19 59  19 18  18 48  18 25  18  6  17 49  17 21  16 57  16 35  16 12  15 48  15 21  15  4  14 45  14 45  14 36  14 26  14 16  14  4  13 51  13 37  13 19  12 58  12 32  11 55  ++ ++  ++ ++  ++ ++
 24   20 33  19 57  19 31  19 10  18 52  18 37  18 11  17 49  17 28  17  7  16 45  16 19  16  3  15 45  15 45  15 37  15 28  15 19  15  8  14 56  14 43  14 27  14  9  13 46  13 16  12 31  ++ ++  ++ ++
 25   20 55  20 26  20  4  19 46  19 31  19 18  18 56  18 37  18 19  18  0  17 41  17 18  17  5  16 49  16 49  16 42  16 35  16 26  16 17  16  7  15 56  15 43  15 29  15 12  14 50  14 23  13 43  ++ ++
 26   21  9  20 47  20 30  20 16  20  4  19 54  19 36  19 20  19  5  18 50  18 35  18 16  18  5  17 53  17 53  17 47  17 41  17 35  17 28  17 20  17 12  17  2  16 51  16 39  16 24  16  6  15 45  15 15
 27   21 19  21  4  20 51  20 41  20 33  20 25  20 12  20  0  19 49  19 38  19 26  19 12  19  5  18 55  18 55  18 51  18 47  18 42  18 37  18 32  18 26  18 19  18 12  18  3  17 53  17 42  17 29  17 13
 28   21 26  21 17  21  9  21  3  20 58  20 53  20 44  20 37  20 30  20 23  20 15  20  7  20  2  19 56  19 56  19 54  19 51  19 48  19 45  19 42  19 38  19 34  19 29  19 24  19 19  19 12  19  4  18 55
 29   21 32  21 29  21 26  21 23  21 21  21 19  21 15  21 12  21  9  21  6  21  3  21  0  20 58  20 56  20 56  20 55  20 53  20 52  20 51  20 50  20 48  20 47  20 45  20 43  20 41  20 38  20 35  20 32
 30   21 38  21 40  21 41  21 42  21 43  21 44  21 46  21 47  21 48  21 49  21 51  21 52  21 53  21 54  21 54  21 55  21 55  21 56  21 57  21 57  21 58  21 59  22  0  22  0  22  2  22  3  22  4  22  6
