 17847  03 49 50.9 +24 05 16  3.62 -0.070   B8III       
 17874  03 49 53.1 -36 09 57  4.17  0.927   G8III       
 17884  03 50 35.1 +65 33 37  4.39  1.870   M1III       
 18246  03 54 51.5 +31 55 01  2.84  0.271   B1Ib        
 18255  03 54 52.2 -02 55 17  4.46  0.672   G8III       
 18532  03 58 37.7 +40 02 33  2.90 -0.199   B0.5V       
 18543  03 58 34.0 -13 28 35  2.97  1.588   M1IIIb Ca-1 
 18614  03 59 42.8 +35 49 24  3.98  0.016   O7.5Iab:    
 18724  04 01 19.1 +12 31 19  3.41 -0.099   B3V + A     
 18744  04 01 03.9 -62 07 39  4.48  1.500   M4III       
 18907  04 03 46.2 +06 01 14  3.91  0.032   A1V         
 19038  04 05 22.6 +22 06 45  4.36  1.064   K0III       
 19167  04 07 26.7 +50 22 53  4.25 -0.011   A0IVn       
 19343  04 09 30.0 +47 44 32  3.96 -0.025   B3Ve        
 19587  04 12 25.7 -06 48 30  4.04  0.327 P F2II-III    
 19747  04 14 23.0 -42 15 59  3.85  1.085   K1III       
 19780  04 14 34.5 -62 26 43  3.33  0.915   G7III       
 19812  04 15 44.8 +48 26 15  4.12  0.935   G0Ib        
 19849  04 15 48.1 -07 38 08  4.43  0.820   K1V         
 19860  04 16 09.6 +08 55 13  4.27 -0.054   B3IV        
 19893  04 16 19.7 -51 27 29  4.26  0.312 P F4III       
 19921  04 16 41.0 -59 16 29  4.44  1.078   K2IV        
 20042  04 18 19.8 -33 46 15  3.55 -0.108   B9V         
 20205  04 20 27.0 +15 39 17  3.65  0.981   G8III       
 20455  04 23 36.0 +17 34 07  3.77  0.983   G8III       
 20535  04 24 28.2 -33 59 26  3.97  1.468   K4III       
 20635  04 26 03.4 +22 19 10  4.21  0.136   A7IV-V      
 20648  04 26 09.4 +17 57 12  4.30  0.049   A2IV        
 20711  04 26 59.9 +22 50 20  4.28  0.263 P A8Vn        
 20713  04 27 00.1 +15 38 37  4.48  0.262 P F0V         
 20885  04 29 14.0 +15 59 13  3.84  0.952   G7III       
 20889  04 29 17.4 +19 12 18  3.53  1.014   K0III       
 20894  04 29 19.2 +15 53 44  3.40  0.179 P A7III       
 21248  04 33 57.6 -29 44 38  4.49  0.972   K0III       
 21281  04 34 14.8 -55 01 17  3.30 -0.079 P A0V:        
 21393  04 35 59.9 -30 32 22  3.81  0.957   G8III       
 21402  04 36 17.2 +10 11 01  4.25  0.184   A5m         
 21421  04 36 34.9 +16 31 54  0.87  1.538   K5III       
 21444  04 36 53.7 -03 19 47  3.93 -0.210   B2III SB    
 21476  04 37 29.4 +41 17 15  4.25  1.171   G8II comp   
 21589  04 38 48.1 +12 31 59  4.27  0.122   A6V         
 21594  04 38 42.5 -14 16 56  3.86  1.082   K1III       
 21763  04 40 56.7 -19 39 00  4.32  1.599 P M3/M4III    
 21770  04 40 56.0 -41 50 32  4.44  0.342   F2V         
 21881  04 42 56.2 +22 58 41  4.27 -0.112   B3V         
 22109  04 46 04.7 -03 14 04  4.01 -0.148   B5IV        
 22449  04 50 27.9 +06 58 50  3.19  0.484   F6V         
 22509  04 51 14.4 +08 55 09  4.35  0.010   A1Vn        
 22549  04 51 49.2 +05 37 26  3.68 -0.157 P B2III SB    
 22701  04 53 27.6 -05 26 03  4.36  0.257   A9IV        
 22783  04 55 12.0 +66 21 39  4.26 -0.008   O9.5Ia SB:  
 22797  04 54 51.1 +02 27 31  3.71 -0.179   B2III SB    
 22957  04 57 01.1 +13 31 54  4.06  1.158   K2III       
 23015  04 57 44.7 +33 11 00  2.69  1.490   K3IIvar     
 23040  04 58 12.7 +53 46 09  4.43 -0.017   A1V         
 23123  04 59 08.7 +01 43 51  4.47  1.369   K2IIvar     
 23416  05 02 47.8 +43 50 21  3.03  0.537 D F0Ia        
 23453  05 03 17.0 +41 05 30  3.69  1.154 P K4II comp   
 23522  05 04 26.7 +60 27 28  4.03  0.921   G0Ib        
 23685  05 05 56.9 -22 21 22  3.19  1.460   K4III       
 23767  05 07 19.4 +41 14 56  3.18 -0.148   B3V         
 23875  05 08 25.0 -05 04 20  2.78  0.161   A3IIIvar    
 23972  05 09 41.8 -08 44 24  4.25 -0.187   B2IVn       
 24244  05 12 50.1 -11 51 22  4.45 -0.099   B8V         
 24305  05 13 26.9 -16 11 33  3.29 -0.110   B9IV: HgMn  
 24327  05 13 45.8 -12 55 42  4.36 -0.094   B7V         
 24331  05 13 53.6 +02 52 27  4.46  1.166   K3III       
 24436  05 15 05.5 -08 11 21  0.18 -0.030   B8Ia        
 24608  05 17 32.4 +46 00 31  0.08  0.795 P M1: comp    
 24674  05 18 09.9 -06 49 58  3.59 -0.115   B5III       
 24845  05 20 06.3 -13 09 56  4.29 -0.235   B0.5IV      
 25247  05 24 30.1 -07 47 54  4.13  0.943   G8III       
 25281  05 25 03.3 -02 23 14  3.35 -0.240   B1V + B2    
 25336  05 25 44.9 +06 21 33  1.64 -0.224   B2III       
 25428  05 27 01.2 +28 36 58  1.65 -0.130   B7III       
 25606  05 28 44.3 -20 45 03  2.81  0.807   G5II        
 25813  05 31 24.0 +05 57 22  4.20 -0.143   B5V         
 25859  05 31 37.3 -35 27 46  3.86  1.130   K1II/III    
 25930  05 32 35.7 -00 17 29  2.25 -0.175 D O9.5II      
 25945  05 32 53.2 +18 36 07  4.32  2.060   M2Ib        
 25985  05 33 14.3 -17 48 53  2.58  0.211   F0Ib        
 26069  05 33 43.6 -62 28 57  3.76  0.640   F6Ia        
 26176  05 35 27.2 +09 29 47  4.39 -0.157   B0IV        
 26207  05 35 46.3 +09 56 28  3.39 -0.160   O           
 26241  05 35 59.8 -05 54 11  2.75 -0.210   O9III       
 26311  05 36 47.9 -01 11 43  1.69 -0.184   B0Ia        
 26366  05 37 32.3 +09 17 46  4.09  0.951   G8III-IV    
 26451  05 38 20.0 +21 08 55  2.97 -0.148 P B4IIIp      
 26549  05 39 19.4 -02 35 39  3.77 -0.190 G O9.5V       
 26594  05 39 47.6 +04 07 38  4.50 -0.098 P B3IIIe      
 26634  05 40 04.0 -34 04 07  2.65 -0.120   B7IV        
 26727  05 41 20.4 -01 56 14  1.74 -0.199 P O9.5Ib SB   
 27072  05 44 56.6 -22 26 43  3.59  0.481   F7V         
 27100  05 44 47.7 -65 43 53  4.34  0.217   A7V         
 27288  05 47 28.6 -14 49 06  3.55  0.104   A2Vann      
 27321  05 47 33.5 -51 03 46  3.85  0.171   A3V         
 27366  05 48 18.1 -09 39 59  2.07 -0.168 P B0.5Iavar   
 27530  05 50 02.2 -56 09 51  4.50  1.075   K1III       
 27628  05 51 21.9 -35 45 52  3.12  1.146   K1.5III     
 27654  05 51 49.0 -20 52 44  3.76  0.984   G8III/IV    
 27673  05 52 17.3 +39 09 03  3.97  1.132   K0III       
 27913  05 55 03.9 +20 16 38  4.39  0.594   G0V         
 27989  05 55 47.7 +07 24 30  0.45  1.500 P M2Ib        
 28103  05 56 55.7 -14 09 59  3.71  0.337   F1V         
 28199  05 57 56.7 -35 16 57  4.36 -0.165   B2.5IV      
 28328  05 59 30.0 -42 48 54  3.96  1.146   K0III       
 28358  06 00 28.5 +54 17 03  3.72  1.010   K0III       
 28360  06 00 22.4 +44 56 51  1.90  0.077   A2V         
 28380  06 00 30.3 +37 12 44  2.65 -0.083 P A0p Si      
 28404  06 00 47.3 +45 56 12  4.30  1.701   M3IIvar     
 28614  06 03 01.0 +09 38 47  4.12  0.170   Am          
 28734  06 04 49.2 +23 15 42  4.16  0.835   G7III       
 29038  06 08 13.7 +14 45 58  4.42 -0.164   B3IV        
 29426  06 12 35.6 +14 12 19  4.45 -0.180   B3IV        
 29651  06 15 25.0 -06 16 45  3.99  1.319   K3III       
 29655  06 15 34.3 +22 30 09  3.31  1.600 W M3III       
 29696  06 16 06.7 +29 29 34  4.32  1.021   G8IIIvar    
 29807  06 16 57.7 -35 08 42  4.37  0.978   G8II        
