 -3   23 20  23 32  23 41  23 49  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  2   0  2   0  4   0  6   0  8   0 10   0 12   0 14   0 17   0 20   0 23   0 27   0 32   0 36   0 42
 34    4 58   5 12   5 23   5 31   5 39   5 46   5 57   6  7   6 17   6 26   6 36   6 47   6 54   7  1   7  1   7  5   7  8   7 12   7 16   7 20   7 25   7 30   7 36   7 42   7 50   7 58   8  8   8 19
 35    6 11   6 19   6 26   6 31   6 36   6 40   6 48   6 54   7  0   7  6   7 12   7 19   7 23   7 28   7 28   7 30   7 32   7 34   7 37   7 39   7 42   7 45   7 49   7 53   7 57   8  2   8  8   8 14
 36    7 22   7 26   7 28   7 30   7 32   7 34   7 36   7 39   7 41   7 43   7 46   7 49   7 50   7 52   7 52   7 53   7 54   7 55   7 56   7 57   7 58   7 59   8  0   8  2   8  3   8  5   8  8   8 10
 37    8 33   8 31   8 29   8 28   8 27   8 26   8 24   8 23   8 22   8 20   8 19   8 17   8 17   8 16   8 16   8 15   8 15   8 14   8 14   8 13   8 12   8 12   8 11   8 10   8  9   8  8   8  7   8  6
 38    9 43   9 36   9 31   9 26   9 22   9 18   9 12   9  7   9  2   8 57   8 52   8 46   8 43   8 39   8 39   8 38   8 36   8 34   8 32   8 30   8 27   8 25   8 22   8 19   8 15   8 11   8  7   8  2
 39   10 54  10 42  10 32  10 24  10 17  10 11  10  1   9 52   9 44   9 35   9 27   9 17   9 11   9  4   9  4   9  2   8 58   8 55   8 52   8 48   8 44   8 39   8 34   8 29   8 22   8 15   8  7   7 58
 40   12  6  11 48  11 34  11 23  11 14  11  5  10 51  10 39  10 27  10 15  10  3   9 49   9 41   9 32   9 32   9 28   9 24   9 19   9 14   9  9   9  3   8 56   8 49   8 41   8 31   8 21   8  8   7 54
 41   13 18  12 55  12 38  12 23  12 11  12  1  11 43  11 27  11 13  10 58  10 43  10 25  10 15  10  4  10  4   9 58   9 53   9 47   9 40   9 33   9 26   9 17   9  7   8 57   8 44   8 29   8 12   7 50
 42   14 29  14  2  13 41  13 24  13 10  12 57  12 36  12 18  12  1  11 45  11 27  11  6  10 54  10 41  10 41  10 34  10 28  10 21  10 13  10  5   9 55   9 45   9 33   9 19   9  3   8 43   8 19   7 46
 43   15 36  15  5  14 42  14 23  14  8  13 54  13 32  13 12  12 54  12 35  12 16  11 53  11 40  11 25  11 25  11 18  11 11  11  3  10 54  10 44  10 34  10 22  10  8   9 52   9 32   9  8   8 36   7 43
