 11    0 21   0 39   0 54   1  7   1 17   1 26   1 42   1 56   2  9   2 22   2 36   2 52   3  1   3 12   3 12   3 16   3 21   3 27   3 33   3 39   3 46   3 54   4  3   4 13   4 25   4 38   4 55   5 15
 12    0 57   1 18   1 35   1 49   2  0   2 10   2 28   2 43   2 57   3 12   3 27   3 44   3 55   4  6   4  6   4 11   4 17   4 23   4 30   4 37   4 45   4 53   5  3   5 15   5 28   5 43   6  2   6 25
 13    1 40   2  3   2 20   2 34   2 46   2 57   3 15   3 31   3 46   4  1   4 16   4 35   4 45   4 57   4 57   5  3   5  8   5 15   5 21   5 29   5 37   5 46   5 56   6  8   6 22   6 38   6 57   7 22
 14    2 30   2 52   3  9   3 24   3 36   3 46   4  4   4 19   4 34   4 49   5  4   5 22   5 32   5 44   5 44   5 49   5 55   6  1   6  7   6 15   6 23   6 31   6 41   6 53   7  6   7 21   7 40   8  3
 15    3 26   3 46   4  3   4 16   4 27   4 37   4 53   5  8   5 21   5 35   5 49   6  6   6 15   6 26   6 26   6 31   6 36   6 42   6 48   6 55   7  2   7 10   7 19   7 29   7 41   7 54   8 11   8 31
 16    4 27   4 44   4 58   5 10   5 20   5 28   5 43   5 56   6  8   6 20   6 32   6 47   6 55   7  5   7  5   7  9   7 13   7 18   7 23   7 29   7 35   7 42   7 50   7 58   8  8   8 19   8 33   8 49
 17    5 30   5 45   5 56   6  5   6 13   6 20   6 33   6 43   6 53   7  3   7 13   7 25   7 32   7 39   7 39   7 43   7 46   7 50   7 55   7 59   8  4   8 10   8 16   8 22   8 30   8 39   8 49   9  1
 18    6 36   6 46   6 55   7  2   7  8   7 13   7 22   7 30   7 37   7 44   7 52   8  1   8  6   8 11   8 11   8 14   8 17   8 19   8 22   8 26   8 29   8 33   8 38   8 43   8 48   8 54   9  1   9 10
 19    7 43   7 49   7 54   7 58   8  2   8  5   8 11   8 16   8 20   8 25   8 30   8 35   8 38   8 42   8 42   8 43   8 45   8 46   8 48   8 50   8 52   8 55   8 58   9  0   9  4   9  7   9 12   9 16
 20    8 50   8 52   8 54   8 56   8 57   8 58   9  0   9  2   9  3   9  5   9  7   9  8   9  9   9 11   9 11   9 11   9 12   9 12   9 13   9 14   9 14   9 15   9 16   9 17   9 18   9 19   9 21   9 22
 21    9 58   9 56   9 55   9 54   9 52   9 51   9 50   9 48   9 47   9 45   9 44   9 42   9 41   9 40   9 40   9 39   9 39   9 38   9 37   9 37   9 36   9 35   9 34   9 33   9 32   9 31   9 30   9 28
 22   11  8  11  2  10 57  10 53  10 49  10 46  10 41  10 36  10 31  10 27  10 22  10 17  10 13  10 10  10 10  10  8  10  7  10  5  10  3  10  1   9 59   9 56   9 54   9 51   9 47   9 43   9 39   9 34
 23   12 20  12  9  12  1  11 54  11 48  11 42  11 33  11 25  11 18  11 10  11  2  10 53  10 48  10 42  10 42  10 40  10 37  10 34  10 31  10 27  10 24  10 19  10 15  10 10  10  4   9 58   9 50   9 42
 24   13 32  13 18  13  6  12 56  12 48  12 41  12 28  12 17  12  7  11 57  11 46  11 34  11 26  11 18  11 18  11 15  11 11  11  7  11  2  10 58  10 52  10 47  10 40  10 33  10 25  10 16  10  5   9 52
 25   14 45  14 27  14 12  14  0  13 50  13 41  13 26  13 12  13  0  12 47  12 34  12 19  12 10  12  0  12  0  11 55  11 50  11 45  11 40  11 34  11 27  11 20  11 11  11  2  10 52  10 39  10 25  10  7
