 1 & $\alpha$   And. & $Alpheratz$ & $ 2.1$ & \bf                     357 &  44.7 &  44.7 &  44.8 &  44.7 &  44.5 &  44.3 &  44.0 &  43.8 &  43.7 &  43.6 &  43.7 &  43.8 \\
33 & $\alpha$   CMa. & $Sirius$  & $-1.5$ & \bf                       258 &  34.2 &  34.3 &  34.4 &  34.5 &  34.7 &  34.7 &  34.6 &  34.5 &  34.3 &  34.1 &  33.8 &  33.7 \\
34 & $\epsilon$ CMa. & $Adhara$  & $ 1.5$ & \bf                       255 &  12.9 &  13.0 &  13.1 &  13.2 &  13.4 &  13.4 &  13.4 &  13.3 &  13.1 &  12.8 &  12.6 &  12.4 \\
35 & $\delta$   CMa. & $Wezen$  & $ 1.9$ & \bf                        252 &  46.2 &  46.2 &  46.3 &  46.5 &  46.6 &  46.7 &  46.6 &  46.5 &  46.3 &  46.1 &  45.9 &  45.7 \\[1.4ex]
36 & $\eta$     CMa. & $Aludra$  & $ 2.5$ & \bf                       248 &  50.8 &  50.8 &  51.0 &  51.1 &  51.3 &  51.3 &  51.3 &  51.2 &  51.0 &  50.8 &  50.5 &  50.3 \\
37 & $\alpha$   Gem. & $Castor$  & $ 2.0$ & \bf                       246 &   8.8 &   8.8 &   8.8 &   9.0 &   9.1 &   9.2 &   9.1 &   9.0 &   8.8 &   8.5 &   8.3 &   8.0 \\
38 & $\alpha$   CMi. & $Procyon$  & $ 0.4$ & \bf                      244 &  60.4 &  60.4 &  60.5 &  60.6 &  60.7 &  60.8 &  60.7 &  60.6 &  60.4 &  60.2 &  60.0 &  59.8 \\
39 & $\beta$    Gem. & $Pollux$  & $ 1.1$ & \bf                       243 &  28.5 &  28.5 &  28.6 &  28.7 &  28.9 &  28.9 &  28.9 &  28.7 &  28.6 &  28.3 &  28.1 &  27.8 \\
40 & \multicolumn{2}{@{}l||}{$\zeta$    Puppis} & $ 2.3$ & \bf        238 &  59.2 &  59.2 &  59.4 &  59.5 &  59.7 &  59.8 &  59.8 &  59.8 &  59.6 &  59.4 &  59.1 &  58.8 \\[1.4ex]
41 & $\gamma$   Vel. & $Regor$  & $ 1.8$ & \bf                        237 &  30.8 &  30.8 &  30.9 &  31.1 &  31.3 &  31.5 &  31.5 &  31.4 &  31.2 &  31.0 &  30.7 &  30.4 \\
42 & $\epsilon$ Car. & $Avior$  & $ 1.8$ & \bf                        234 &  17.8 &  17.8 &  18.0 &  18.3 &  18.6 &  18.8 &  18.9 &  18.9 &  18.7 &  18.3 &  17.9 &  17.6 \\
43 & \multicolumn{2}{@{}l||}{$\delta$   Velorum} & $ 2.0$ & \bf       228 &  43.7 &  43.7 &  43.8 &  44.0 &  44.3 &  44.5 &  44.6 &  44.6 &  44.4 &  44.1 &  43.8 &  43.5 \\
44 & \multicolumn{2}{@{}l||}{$\zeta$    Hydrae} & $ 3.1$ & \bf        225 &  59.0 &  58.9 &  58.9 &  59.0 &  59.1 &  59.2 &  59.2 &  59.2 &  59.0 &  58.9 &  58.6 &  58.4 \\
45 & $\lambda$  Vel. & $Suhail$  & $ 2.2$ & \bf                       222 &  52.7 &  52.7 &  52.7 &  52.9 &  53.1 &  53.2 &  53.3 &  53.3 &  53.2 &  53.0 &  52.7 &  52.4 \\[1.4ex]
46 & $\beta$    Car. & $Miaplacidus$  & $ 1.7$ & \bf                  221 &  39.0 &  39.0 &  39.2 &  39.6 &  40.0 &  40.4 &  40.7 &  40.7 &  40.5 &  40.2 &  39.6 &  39.1 \\
47 & $\iota$    Car. & $Aspidiske$  & $ 2.5$ & \bf                    220 &  38.0 &  37.9 &  38.0 &  38.3 &  38.6 &  38.8 &  39.0 &  39.0 &  38.9 &  38.6 &  38.2 &  37.8 \\
48 & \multicolumn{2}{@{}l||}{$\alpha$   Lyncis} & $ 3.1$ & \bf        219 &  32.6 &  32.5 &  32.5 &  32.6 &  32.7 &  32.8 &  32.9 &  32.8 &  32.7 &  32.5 &  32.2 &  31.9 \\
49 & $\alpha$   Hya. & $Alphard$  & $ 2.0$ & \bf                      217 &  56.8 &  56.7 &  56.7 &  56.8 &  56.9 &  57.0 &  57.0 &  57.0 &  56.9 &  56.7 &  56.5 &  56.2 \\
50 & $\alpha$   Leo. & $Regulus$  & $ 1.4$ & \bf                      207 &  44.3 &  44.2 &  44.1 &  44.2 &  44.3 &  44.4 &  44.4 &  44.4 &  44.4 &  44.2 &  44.0 &  43.8 \\
