 1 & $\alpha$   And. & $Alpheratz$ & $ 2.1$ & \bf                     $+$29 &  9.3 &  9.2 &  9.2 &  9.1 &  9.1 &  9.2 &  9.3 &  9.4 &  9.5 &  9.6 &  9.7 &  9.7 \\
21 & $\alpha$   Aur. & $Capella$  & $ 0.1$ & \bf                      $+$46 &  0.6 &  0.7 &  0.7 &  0.6 &  0.6 &  0.5 &  0.4 &  0.4 &  0.4 &  0.4 &  0.5 &  0.5 \\
22 & $\gamma$   Ori. & $Bellatrix$  & $ 1.6$ & \bf                    $+$ 6 & 21.5 & 21.5 & 21.5 & 21.5 & 21.5 & 21.5 & 21.6 & 21.6 & 21.7 & 21.7 & 21.6 & 21.6 \\
23 & $\beta$    Tau. & $Elnath$  & $ 1.7$ & \bf                       $+$28 & 37.0 & 37.0 & 37.0 & 37.0 & 37.0 & 36.9 & 36.9 & 36.9 & 36.9 & 37.0 & 37.0 & 37.0 \\
24 & $\delta$   Ori. & $Mintaka$  & $ 2.2$ & \bf                      $-$ 0 & 17.5 & 17.6 & 17.6 & 17.6 & 17.6 & 17.5 & 17.4 & 17.4 & 17.3 & 17.4 & 17.4 & 17.5 \\
25 & $\epsilon$ Ori. & $Alnilam$  & $ 1.7$ & \bf                      $-$ 1 & 11.8 & 11.8 & 11.9 & 11.8 & 11.8 & 11.8 & 11.7 & 11.6 & 11.6 & 11.6 & 11.7 & 11.7 \\[1.4ex]
26 & $\zeta$    Ori. & $Alnitak$  & $ 2.1$ & \bf                      $-$ 1 & 56.3 & 56.4 & 56.4 & 56.4 & 56.3 & 56.3 & 56.2 & 56.1 & 56.1 & 56.1 & 56.2 & 56.3 \\
27 & $\kappa$   Ori. & $Saiph$  & $ 2.1$ & \bf                        $-$ 9 & 40.1 & 40.1 & 40.2 & 40.1 & 40.1 & 40.0 & 39.9 & 39.8 & 39.8 & 39.8 & 39.9 & 40.0 \\
28 & $\alpha$   Ori. & $Betelgeuse$  & $*0.9$ & \bf                   $+$ 7 & 24.5 & 24.4 & 24.4 & 24.4 & 24.4 & 24.5 & 24.5 & 24.6 & 24.6 & 24.6 & 24.5 & 24.5 \\
29 & $\beta$    Aur. & $Menkalinan$  & $ 1.9$ & \bf                   $+$44 & 56.9 & 57.0 & 57.0 & 57.0 & 56.9 & 56.8 & 56.8 & 56.7 & 56.7 & 56.7 & 56.7 & 56.8 \\
30 & $\beta$    CMa. & $Mirzam$  & $ 2.0$ & \bf                       $-$17 & 57.8 & 57.9 & 58.0 & 58.0 & 57.9 & 57.8 & 57.7 & 57.6 & 57.6 & 57.6 & 57.7 & 57.8 \\[1.4ex]
31 & $\alpha$   Car. & $Canopus$  & $-0.7$ & \bf                      $-$52 & 42.3 & 42.4 & 42.5 & 42.5 & 42.4 & 42.2 & 42.1 & 41.9 & 41.9 & 41.9 & 42.0 & 42.1 \\
32 & $\gamma$   Gem. & $Alhena$  & $ 1.9$ & \bf                       $+$16 & 23.3 & 23.3 & 23.3 & 23.3 & 23.3 & 23.3 & 23.3 & 23.3 & 23.3 & 23.3 & 23.2 & 23.2 \\
33 & $\alpha$   CMa. & $Sirius$  & $-1.5$ & \bf                       $-$16 & 44.0 & 44.1 & 44.2 & 44.2 & 44.1 & 44.0 & 43.9 & 43.8 & 43.8 & 43.8 & 43.9 & 44.0 \\
34 & $\epsilon$ CMa. & $Adhara$  & $ 1.5$ & \bf                       $-$28 & 59.4 & 59.5 & 59.6 & 59.6 & 59.5 & 59.4 & 59.3 & 59.2 & 59.1 & 59.1 & 59.2 & 59.3 \\
35 & $\delta$   CMa. & $Wezen$  & $ 1.9$ & \bf                        $-$26 & 24.8 & 24.9 & 25.0 & 25.0 & 24.9 & 24.9 & 24.7 & 24.6 & 24.6 & 24.6 & 24.6 & 24.8 \\[1.4ex]
36 & $\eta$     CMa. & $Aludra$  & $ 2.5$ & \bf                       $-$29 & 19.6 & 19.7 & 19.8 & 19.8 & 19.8 & 19.7 & 19.6 & 19.5 & 19.4 & 19.4 & 19.5 & 19.6 \\
37 & $\alpha$   Gem. & $Castor$  & $ 2.0$ & \bf                       $+$31 & 51.7 & 51.7 & 51.8 & 51.8 & 51.8 & 51.8 & 51.7 & 51.7 & 51.6 & 51.6 & 51.5 & 51.5 \\
38 & $\alpha$   CMi. & $Procyon$  & $ 0.4$ & \bf                      $+$ 5 & 11.6 & 11.6 & 11.6 & 11.6 & 11.6 & 11.6 & 11.7 & 11.7 & 11.7 & 11.7 & 11.6 & 11.5 \\
39 & $\beta$    Gem. & $Pollux$  & $ 1.1$ & \bf                       $+$27 & 59.8 & 59.8 & 59.9 & 59.9 & 59.9 & 59.9 & 59.8 & 59.8 & 59.8 & 59.7 & 59.7 & 59.6 \\
40 & \multicolumn{2}{@{}l||}{$\zeta$    Puppis} & $ 2.3$ & \bf        $-$40 &  2.2 &  2.3 &  2.4 &  2.5 &  2.5 &  2.4 &  2.3 &  2.1 &  2.0 &  2.0 &  2.1 &  2.2 \\[1.4ex]
41 & $\gamma$   Vel. & $Regor$  & $ 1.8$ & \bf                        $-$47 & 22.2 & 22.4 & 22.5 & 22.6 & 22.6 & 22.5 & 22.4 & 22.2 & 22.1 & 22.1 & 22.1 & 22.3 \\
42 & $\epsilon$ Car. & $Avior$  & $ 1.8$ & \bf                        $-$59 & 32.8 & 32.9 & 33.1 & 33.2 & 33.2 & 33.1 & 33.0 & 32.8 & 32.7 & 32.6 & 32.7 & 32.8 \\
43 & \multicolumn{2}{@{}l||}{$\delta$   Velorum} & $ 2.0$ & \bf       $-$54 & 45.0 & 45.2 & 45.3 & 45.4 & 45.4 & 45.4 & 45.3 & 45.1 & 45.0 & 44.9 & 45.0 & 45.1 \\
44 & \multicolumn{2}{@{}l||}{$\zeta$    Hydrae} & $ 3.1$ & \bf        $+$ 5 & 54.0 & 54.0 & 53.9 & 54.0 & 54.0 & 54.0 & 54.0 & 54.0 & 54.0 & 54.0 & 53.9 & 53.8 \\
45 & $\lambda$  Vel. & $Suhail$  & $ 2.2$ & \bf                       $-$43 & 28.7 & 28.9 & 29.0 & 29.1 & 29.1 & 29.1 & 28.9 & 28.8 & 28.7 & 28.6 & 28.7 & 28.8 \\[1.4ex]
46 & $\beta$    Car. & $Miaplacidus$  & $ 1.7$ & \bf                  $-$69 & 45.7 & 45.9 & 46.1 & 46.2 & 46.3 & 46.2 & 46.1 & 46.0 & 45.8 & 45.7 & 45.7 & 45.8 \\
47 & $\iota$    Car. & $Aspidiske$  & $ 2.5$ & \bf                    $-$59 & 19.3 & 19.5 & 19.7 & 19.8 & 19.8 & 19.8 & 19.7 & 19.5 & 19.4 & 19.3 & 19.3 & 19.4 \\
48 & \multicolumn{2}{@{}l||}{$\alpha$   Lyncis} & $ 3.1$ & \bf        $+$34 & 20.5 & 20.5 & 20.6 & 20.6 & 20.7 & 20.7 & 20.6 & 20.6 & 20.5 & 20.4 & 20.3 & 20.2 \\
49 & $\alpha$   Hya. & $Alphard$  & $ 2.0$ & \bf                      $-$ 8 & 42.5 & 42.6 & 42.7 & 42.7 & 42.7 & 42.7 & 42.6 & 42.6 & 42.5 & 42.5 & 42.6 & 42.7 \\
50 & $\alpha$   Leo. & $Regulus$  & $ 1.4$ & \bf                      $+$11 & 54.6 & 54.5 & 54.5 & 54.5 & 54.6 & 54.6 & 54.6 & 54.6 & 54.6 & 54.5 & 54.4 & 54.3 \\
