 2458622.5 -17.5127 -3.3865   0.409032182546   381.3411  -4.2097  0.0018
 2458623.5 -17.4429 -3.4333   0.409031949528   381.4235  -4.2568  0.0018
 2458624.5 -17.3445 -3.4653   0.409031788048   381.5174  -4.2893  0.0019
 2458625.5 -17.2373 -3.4792   0.409031714238   381.6148  -4.3036  0.0019
 2458626.5 -17.1399 -3.4757   0.409031725260   381.7084  -4.3005  0.0019
 2458627.5 -17.0670 -3.4582   0.409031804061   381.7924  -4.2833  0.0019
 2458628.5 -17.0272 -3.4319   0.409031925195   381.8632  -4.2573  0.0018
 2458629.5 -17.0235 -3.4028   0.409032059869   381.9196  -4.2285  0.0018
 2458630.5 -17.0536 -3.3768   0.409032179642   381.9626  -4.2027  0.0018
 2458631.5 -17.1108 -3.3592   0.409032259047   381.9948  -4.1852  0.0018
 2458632.5 -17.1843 -3.3540   0.409032277847   382.0205  -4.1801  0.0018
 2458633.5 -17.2599 -3.3639   0.409032223529   382.0452  -4.1902  0.0018
 2458634.5 -17.3213 -3.3893   0.409032094245   382.0756  -4.2157  0.0018
 2458635.5 -17.3520 -3.4277   0.409031901746   382.1180  -4.2543  0.0018
 2458636.5 -17.3384 -3.4736   0.409031673010   382.1781  -4.3004  0.0019
 2458637.5 -17.2735 -3.5187   0.409031448499   382.2586  -4.3458  0.0019
 2458638.5 -17.1611 -3.5531   0.409031275233   382.3580  -4.3807  0.0019
 2458639.5 -17.0167 -3.5684   0.409031194830   382.4703  -4.3965  0.0020
 2458640.5 -16.8657 -3.5599   0.409031229836   382.5852  -4.3885  0.0019
 2458641.5 -16.7366 -3.5289   0.409031374075   382.6916  -4.3579  0.0019
 2458642.5 -16.6527 -3.4826   0.409031592096   382.7800  -4.3120  0.0019
 2458643.5 -16.6251 -3.4325   0.409031828780   382.8460  -4.2622  0.0018
 2458644.5 -16.6499 -3.3907   0.409032025339   382.8912  -4.2206  0.0018
 2458645.5 -16.7096 -3.3667   0.409032135590   382.9225  -4.1967  0.0018
 2458646.5 -16.7788 -3.3650   0.409032137342   382.9498  -4.1951  0.0018
 2458647.5 -16.8317 -3.3846   0.409032036343   382.9836  -4.2148  0.0018
 2458648.5 -16.8478 -3.4191   0.409031862684   383.0319  -4.2496  0.0018
 2458649.5 -16.8171 -3.4594   0.409031661454   383.0988  -4.2901  0.0019
 2458650.5 -16.7412 -3.4954   0.409031480684   383.1837  -4.3265  0.0019
 2458651.5 -16.6318 -3.5190   0.409031360019   383.2819  -4.3505  0.0019
 2458652.5 -16.5066 -3.5253   0.409031323050   383.3866  -4.3573  0.0019
 2458653.5 -16.3850 -3.5134   0.409031374759   383.4899  -4.3458  0.0019
 2458654.5 -16.2835 -3.4855   0.409031503608   383.5852  -4.3183  0.0019
 2458655.5 -16.2138 -3.4465   0.409031686474   383.6679  -4.2797  0.0018
 2458656.5 -16.1815 -3.4023   0.409031894346   383.7359  -4.2358  0.0018
 2458657.5 -16.1858 -3.3592   0.409032097333   383.7892  -4.1929  0.0018
 2458658.5 -16.2213 -3.3226   0.409032268357   383.8301  -4.1565  0.0017
 2458659.5 -16.2781 -3.2972   0.409032385700   383.8625  -4.1312  0.0017
 2458660.5 -16.3432 -3.2857   0.409032434977   383.8915  -4.1198  0.0017
 2458661.5 -16.4015 -3.2894   0.409032411075   383.9232  -4.1236  0.0017
 2458662.5 -16.4368 -3.3068   0.409032320308   383.9639  -4.1412  0.0017
 2458663.5 -16.4344 -3.3340   0.409032182409   384.0196  -4.1686  0.0017
 2458664.5 -16.3837 -3.3639   0.409032031102   384.0945  -4.1989  0.0018
 2458665.5 -16.2826 -3.3874   0.409031911095   384.1895  -4.2228  0.0018
