2458296.8263889  17.766872670656 -20.329239597168       1.1493492502
2458296.8270833  17.766861224750 -20.329290203747       1.1493505954
2458296.8277778  17.766849778929 -20.329340810389       1.1493519407
2458296.8284722  17.766838333195 -20.329391417094       1.1493532862
2458296.8291667  17.766826887547 -20.329442023863       1.1493546318
2458296.8298611  17.766815441984 -20.329492630695       1.1493559774
2458296.8305556  17.766803996508 -20.329543237591       1.1493573232
2458296.8312500  17.766792551117 -20.329593844550       1.1493586692
2458296.8319444  17.766781105813 -20.329644451573       1.1493600152
2458296.8326389  17.766769660614 -20.329695058699       1.1493613613
2458296.8333333  17.766758215481 -20.329745665849       1.1493627076
2458296.8340278  17.766746770435 -20.329796273062       1.1493640539
2458296.8347222  17.766735325475 -20.329846880338       1.1493654004
2458296.8354167  17.766723880600 -20.329897487677       1.1493667470
2458296.8361111  17.766712435812 -20.329948095080       1.1493680938
2458296.8368056  17.766700991109 -20.329998702546       1.1493694406
2458296.8375000  17.766689546493 -20.330049310075       1.1493707875
2458296.8381944  17.766678101963 -20.330099917668       1.1493721346
2458296.8388889  17.766666657518 -20.330150525324       1.1493734818
2458296.8395833  17.766655213160 -20.330201133043       1.1493748291
2458296.8402778  17.766643768908 -20.330251740866       1.1493761765
2458296.8409722  17.766632324722 -20.330302348711       1.1493775240
2458296.8416667  17.766620880622 -20.330352956620       1.1493788716
2458296.8423611  17.766609436608 -20.330403564592       1.1493802194
2458296.8430556  17.766597992681 -20.330454172628       1.1493815672
2458296.8437500  17.766586548839 -20.330504780726       1.1493829152
2458296.8444444  17.766575105083 -20.330555388888       1.1493842633
2458296.8451389  17.766563661414 -20.330605997113       1.1493856115
2458296.8458333  17.766552217831 -20.330656605401       1.1493869599
2458296.8465278  17.766540774334 -20.330707213752       1.1493883083
2458296.8472222  17.766529330923 -20.330757822166       1.1493896569
2458296.8479167  17.766517887618 -20.330808430683       1.1493910055
2458296.8486111  17.766506444379 -20.330859039224       1.1493923543
2458296.8493056  17.766495001227 -20.330909647827       1.1493937032
2458296.8500000  17.766483558160 -20.330960256494       1.1493950522
2458296.8506944  17.766472115180 -20.331010865223       1.1493964014
2458296.8513889  17.766460672286 -20.331061474016       1.1493977506
2458296.8520833  17.766449229479 -20.331112082871       1.1493991000
2458296.8527778  17.766437786757 -20.331162691790       1.1494004494
2458296.8534722  17.766426344122 -20.331213300772       1.1494017990
2458296.8541667  17.766414901573 -20.331263909816       1.1494031487
2458296.8548611  17.766403459110 -20.331314518924       1.1494044986
2458296.8555556  17.766392016753 -20.331365128135       1.1494058485
2458296.8562500  17.766380574463 -20.331415737368       1.1494071985
2458296.8569444  17.766369132259 -20.331466346665       1.1494085487
