74 & $\alpha$ Coronae Borealis & $Alphecca$ & $ 2.2$ &                           8 & 53 &  6 & 51 &  4 & 57 &  2 & 56 &  0 & 58 & 22 & 52 & 20 & 54 \\[1.4ex]
76 & $\alpha$ Scorpii & $Antares$ & $*1.4$ &                                     9 & 48 &  7 & 46 &  5 & 52 &  3 & 50 &  1 & 52 & 23 & 46 & 21 & 48 \\
77 & $\alpha$ Triangulis Aust. & $Atria$ & $ 1.9$ &                             10 & 07 &  8 & 05 &  6 & 11 &  4 & 09 &  2 & 11 &  0 & 10 & 22 & 08 \\
81 & $\lambda$ Scorpii & $Shaula$ & $ 1.6$ &                                    10 & 52 &  8 & 50 &  6 & 56 &  4 & 54 &  2 & 56 &  0 & 54 & 22 & 52 \\
82 & $\alpha$ Ophiuci & $Rasalhague$ & $ 2.1$ &                                 10 & 53 &  8 & 51 &  6 & 57 &  4 & 55 &  2 & 58 &  0 & 56 & 22 & 54 \\
84 & $\gamma$ Draconis & $Eltanin$ & $ 2.2$ &                                   11 & 15 &  9 & 13 &  7 & 19 &  5 & 17 &  3 & 19 &  1 & 17 & 23 & 15 \\[1.4ex]
85 & $\epsilon$ Sagitarii & $Kaus\,Australis$ & $ 1.9$ &                        11 & 42 &  9 & 40 &  7 & 46 &  5 & 45 &  3 & 47 &  1 & 45 & 23 & 43 \\
86 & $\alpha$ Lyrae & $Vega$ & $ 0.0$ &                                         11 & 55 &  9 & 53 &  7 & 59 &  5 & 57 &  3 & 59 &  1 & 58 & 23 & 56 \\
87 & $\sigma$ Sagitarii & $Nunki$ & $ 2.0$ &                                    12 & 13 & 10 & 11 &  8 & 17 &  6 & 16 &  4 & 18 &  2 & 16 &  0 & 18 \\
88 & $\alpha$ Aquilae & $Altair$ & $ 0.8$ &                                     13 & 09 & 11 & 07 &  9 & 13 &  7 & 11 &  5 & 13 &  3 & 11 &  1 & 13 \\
90 & $\alpha$ Pavonis & $Peacock$ & $ 1.9$ &                                    13 & 43 & 11 & 42 &  9 & 48 &  7 & 46 &  5 & 48 &  3 & 46 &  1 & 48 \\[1.4ex]
91 & $\alpha$ Cygni & $Deneb$ & $ 1.3$ &                                        13 & 59 & 11 & 57 & 10 & 03 &  8 & 01 &  6 & 04 &  4 & 02 &  2 & 04 \\
93 & $\epsilon$ Pegasi & $Enif$ & $*2.1$ &                                      15 & 02 & 13 & 00 & 11 & 06 &  9 & 04 &  7 & 06 &  5 & 04 &  3 & 06 \\
95 & $\alpha$ Gruis & $Al\,Na$'$ir$ & $ 1.7$ &                                  15 & 26 & 13 & 24 & 11 & 30 &  9 & 28 &  7 & 30 &  5 & 28 &  3 & 30 \\
97 & $\alpha$ Piscis Australis & $Fomalhaut$ & $ 1.2$ &                         16 & 15 & 14 & 13 & 12 & 19 & 10 & 17 &  8 & 19 &  6 & 17 &  4 & 20 \\
99 & $\alpha$ Pegasi & $Markab$ & $ 2.5$ &                                      16 & 22 & 14 & 20 & 12 & 26 & 10 & 24 &  8 & 26 &  6 & 25 &  4 & 27 \\
