 11767  03 14 38.44 +89 23 31.5  1.97  0.636 P F7:Ib-IIv SB alpha      UMi    44.22   -11.74    7.56
 12387  02 41 06.04 +00 27 45.6  4.08 -0.212 P B2IV         delta      Cet    14.44    -2.53    5.04
 12394  02 40 05.14 -68 07 57.1  4.12 -0.061   B9III        epsilon    Hyi    87.40     0.56   21.27
 12486  02 41 54.59 -39 43 18.9  4.11  1.006   K0III        iota       Eri   135.17   -27.34   22.42
 12706  02 44 56.19 +03 22 00.6  3.47  0.093   A3V          gamma      Cet  -146.43  -145.27   39.78
 12770  02 45 37.39 -13 43 36.7  4.24 -0.122   B7IV         pi         Cet    -7.58    -8.40    7.40
 12777  02 46 22.23 +49 21 33.6  4.10  0.514   F7V          theta      Per   334.03   -89.96   89.03
 12828  02 46 39.02 +10 14 43.1  4.27  0.311   F1III-IV     mu         Cet   285.17   -30.40   38.71
 12843  02 46 34.46 -18 26 27.0  4.47  0.481   F5/F6V       tau^1      Eri   330.93    36.28   71.56
 13147  02 50 24.52 -32 16 30.4  4.45  0.981   G8III        beta       For    86.96   158.96   19.31
 13209  02 51 50.81 +27 23 17.8  3.61 -0.100   B8Vn                    Ari    65.47  -116.59   20.45
 13254  02 52 35.14 +38 26 46.1  4.22  0.343   F2III                   Per   195.68  -108.92   25.54
 13268  02 53 01.20 +56 01 25.3  3.77  1.690   K3Ib comp SB eta        Per    16.64   -13.76    2.45
 13531  02 56 30.76 +52 53 20.0  3.93  0.758   G4III        tau        Per    -1.99    -4.53   13.15
 13701  02 57 58.11 -08 46 28.5  3.89  1.088   K1III-IV     eta        Eri    77.73  -219.99   24.49
 13847  02 59 27.33 -40 10 47.4  2.88  0.128   A4III+       theta^1    Eri   -53.53    25.71   20.22
 14135  03 03 55.80 +04 12 40.8  2.54  1.630 P M2III        alpha      Cet   -11.81   -78.76   14.82
 14146  03 03 46.88 -23 30 09.5  4.08  0.163   A4V          tau^3      Eri  -145.96   -55.76   37.85
 14328  03 07 06.01 +53 37 37.7  2.91  0.716   G8III+       gamma      Per     0.50    -4.19   12.72
 14354  03 07 12.46 +38 57 35.8  3.32  1.528 P M3IIIvar     rho        Per   128.69  -106.61   10.03
 14576  03 10 13.90 +41 04 28.4  2.09 -0.003 W B8V          beta       Per     2.39    -1.44   35.14
 14632  03 11 21.56 +49 43 50.9  4.05  0.595   G0V          iota       Per  1262.29   -91.53   94.93
 14668  03 11 38.16 +44 58 28.0  3.79  0.980   K0III        kappa      Per   173.01  -142.05   29.05
 14838  03 13 26.25 +19 50 37.1  4.35  1.033   K2IIIvar     delta      Ari   154.61    -8.39   19.44
 14879  03 13 24.95 -28 51 55.3  3.80  0.543   F8V          alpha      For   371.49   612.26   70.86
 15474  03 20 55.14 -21 38 42.0  3.70  1.614 P M3/M4III     tau^4      Eri    51.35    32.20   12.63
 15510  03 21 11.11 -42 57 03.9  4.26  0.711   G8V                          3038.08   726.34  165.02
 15549  03 22 15.24 +29 09 36.9  4.47  1.555   K2II-III                       -8.21   -16.42    5.09
 15863  03 26 35.38 +49 58 13.6  1.79  0.481 P F5Ib         alpha      Per    24.11   -26.01    5.51
 15900  03 26 30.76 +09 08 15.1  3.61  0.887   G8III        o          Tau   -74.25   -80.31   15.42
 16083  03 28 52.85 +09 50 25.0  3.73 -0.082   B9Vn         xi         Tau    53.61   -38.12   14.68
 16228  03 31 38.88 +60 02 48.6  4.21  0.419 D B9Ia                           -0.82    -1.85    0.76
 16335  03 32 48.71 +48 06 03.9  4.36  1.367   K3III        sigma      Per     1.56    18.13    9.23
 16369  03 32 37.03 +13 02 32.4  4.14  1.112   K0II-III                Tau    18.94    -1.55    9.05
 16537  03 34 25.03 -09 21 12.9  3.72  0.881 P K2V          epsilon    Eri  -976.44    17.97  310.75
 16611  03 35 10.84 -21 31 44.8  4.26 -0.106   B9V          tau^5      Eri    44.91   -27.47   11.02
 16826  03 38 44.64 +48 17 40.0  4.32 -0.058 P B5Ve         psi        Per    21.41   -27.58    4.66
 16852  03 38 29.03 +00 29 58.1  4.29  0.575   F9V                     Tau  -232.69  -482.00   72.89
 17358  03 45 10.98 +47 53 06.7  3.01 -0.125   B5III SB     delta      Per    23.83   -41.93    6.18
 17378  03 44 45.60 -09 39 31.9  3.52  0.915   K0IV         delta      Eri   -91.71   742.23  110.58
 17440  03 44 36.27 -64 42 30.3  3.84  1.133   K0IV SB      beta       Ret   308.39    78.72   32.71
 17448  03 46 18.19 +32 23 07.4  3.84  0.022 W B1III        o          Per     8.11   -10.32    2.21
 17499  03 46 45.19 +24 12 35.4  3.72 -0.105   B6III                   Tau    21.55   -44.92    8.80
 17529  03 47 20.78 +42 40 30.6  3.77  0.425   F5IIvar      nu         Per   -14.59     1.75    5.86
 17531  03 47 05.42 +24 33 48.9  4.30 -0.110   B6V                     Tau    19.35   -41.63    8.75
 17573  03 47 42.49 +24 27 49.1  3.87 -0.063   B8III                   Tau    21.09   -45.03    9.06
 17593  03 47 38.01 -12 00 17.5  4.43  1.604   M1III        pi         Eri    55.59    60.03    6.56
 17608  03 48 12.17 +24 02 38.2  4.14 -0.051   B6IV         71         Tau    21.17   -42.67    9.08
 17651  03 48 12.28 -23 09 30.8  4.22  0.434   F3/F5V       tau^6      Eri  -159.86  -528.54   55.79
 17678  03 46 47.30 -74 08 30.6  3.26  1.590 P M2III        gamma      Hyi    51.07   115.27   15.23
 17702  03 49 21.83 +24 12 00.0  2.85 -0.086   B7III        eta        Tau    19.35   -43.11    8.87
 17797  03 49 45.70 -37 31 31.8  4.30 -0.038   A+                             75.83   -10.69   20.23
 17847  03 51 02.53 +24 08 49.8  3.62 -0.070   B8III                   Tau    17.77   -44.70    8.57
 17874  03 50 38.05 -36 06 23.6  4.17  0.927   G8III                         -49.42   -56.63   15.54
 17884  03 52 26.49 +65 37 09.9  4.39  1.870   M1III        BE         Cam    -2.50   -13.98    3.38
 18246  03 56 07.23 +31 58 28.0  2.84  0.271   B1Ib         zeta       Per     4.41    -9.15    3.32
 18255  03 55 52.59 -02 51 49.7  4.46  0.672   G8III                          26.42     1.49    9.46
 18532  03 59 58.69 +40 05 54.2  2.90 -0.199   B0.5V        epsilon    Per    12.61   -24.06    6.06
 18543  03 59 30.06 -13 25 15.6  2.97  1.588   M1IIIb Ca-1  gamma      Eri    60.51  -111.34   14.75
 18614  04 01 01.09 +35 52 43.4  3.98  0.016   O7.5Iab:     xi         Per     1.92     2.30    1.84
 18724  04 02 25.80 +12 34 36.8  3.41 -0.099   B3V + A      lambda     Tau    -8.15   -11.98    8.81
 18744  04 01 21.61 -62 04 19.4  4.48  1.500   M4III                           1.80    34.95    6.65
 18907  04 04 50.15 +06 04 27.5  3.91  0.032   A1V          nu         Tau     5.52    -1.63   25.24
 19038  04 06 33.81 +22 09 55.2  4.36  1.064   K0III                   Tau    91.73   -58.52   18.04
 19167  04 08 56.75 +50 26 00.3  4.25 -0.011   A0IVn        lambda     Per   -13.03   -36.37    9.41
 19343  04 10 57.70 +47 47 35.9  3.96 -0.025   B3Ve         MX         Per    20.19   -33.26    5.89
 19587  04 13 24.36 -06 45 27.7  4.04  0.327 P F2II-III     o^1        Eri    11.92    81.28   25.98
 19747  04 15 02.84 -42 13 05.8  3.85  1.085   K1III        alpha      Hor    41.89  -203.65   27.85
 19780  04 14 50.29 -62 23 44.2  3.33  0.915   G7III        alpha      Ret    41.64    49.72   19.98
 19812  04 17 13.42 +48 29 09.6  4.12  0.935   G0Ib         mu         Per     5.04   -17.35    4.51
 19849  04 16 43.36 -07 36 21.2  4.43  0.820   K1V          o^2        Eri -2239.33 -3419.86  198.24
 19860  04 17 14.92 +08 58 07.5  4.27 -0.054   B3IV         mu         Tau    20.39   -21.75    7.50
 19893  04 16 51.28 -51 24 30.5  4.26  0.312 P F4III        gamma      Dor   100.57   184.23   49.26
 19921  04 17 01.98 -59 13 38.2  4.44  1.078   K2IV         epsilon    Ret   -47.99  -167.81   54.84
 20042  04 19 05.27 -33 43 23.7  3.55 -0.108   B9V                     Eri    62.31    -6.75   18.27
 20205  04 21 35.43 +15 42 03.8  3.65  0.981   G8III        gamma      Tau   115.29   -23.86   21.17
 20455  04 24 45.37 +17 36 49.3  3.77  0.983   G8III        delta      Tau   107.75   -28.84   21.29
 20535  04 25 13.32 -33 56 43.7  3.97  1.468   K4III                   Eri    73.77    57.57   11.95
 20635  04 27 15.13 +22 21 47.5  4.21  0.136   A7IV-V       kappa^1    Tau   105.49   -44.14   21.27
 20648  04 27 19.01 +17 59 50.1  4.30  0.049   A2IV         76         Tau   108.26   -32.47   22.05
 20711  04 28 11.88 +22 52 56.0  4.28  0.263 P A8Vn         upsilon    Tau   108.66   -45.83   21.07
 20713  04 28 08.70 +15 41 13.3  4.48  0.262 P F0V          77         Tau   114.66   -33.30   20.86
 20885  04 30 22.73 +16 01 46.3  3.84  0.952   G7III        theta^1    Tau   104.76   -15.01   20.66
 20889  04 30 27.64 +19 14 51.1  3.53  1.014   K0III        epsilon    Tau   107.23   -36.77   21.04
 20894  04 30 27.91 +15 56 17.0  3.40  0.179 P A7III        theta^2    Tau   108.66   -26.39   21.89
 21248  04 34 44.77 -29 42 16.9  4.49  0.972   K0III        upsilon^1  Eri  -114.35  -271.56   26.22
