 2462902.5  72.66   0.0   6.9 19.02 17.49 0.997   0.1  0.05  4.432148  0.691175 -0.515309  0.576624 -0.532389  0.969545  4.504646 -7.791836  6.245078
 2462903.5  72.79   0.0   6.9 18.99 17.45 0.997   0.1  0.05  4.432794  2.274410 -0.515418  2.159259 -0.532489  0.972659  4.505316 -7.777235  6.245065
 2462904.5  72.93   0.0   6.9 18.95 17.42 0.997   0.1  0.05  4.433440  3.857603 -0.515533  3.741887 -0.532588  0.975452  4.505987 -7.762603  6.245048
 2462905.5  73.06   0.0   6.9 18.92 17.39 0.997   0.1  0.05  4.434086  5.440755 -0.515654  5.324509 -0.532688  0.977926  4.506661 -7.747944  6.245027
 2462906.5  73.20   0.0   6.9 18.88 17.36 0.997   0.1  0.05  4.434732  0.740681 -0.515781  0.623941 -0.532787  0.980083  4.507338 -7.733263  6.245001
 2462907.5  73.33   0.0   6.9 18.85 17.33 0.997   0.1  0.05  4.435377  2.323751 -0.515914  2.206553 -0.532886  0.981927  4.508019 -7.718564  6.244972
 2462908.5  73.47   0.0   6.9 18.81 17.29 0.997   0.1  0.05  4.436023  3.906781 -0.516052  3.789161 -0.532985  0.983461  4.508703 -7.703853  6.244939
 2462909.5  73.60   0.0   6.9 18.78 17.26 0.997   0.1  0.05  4.436669  5.489772 -0.516196  5.371764 -0.533083  0.984688  4.509392 -7.689135  6.244901
 2462910.5  73.74   0.0   6.9 18.74 17.23 0.997   0.1  0.05  4.437315  0.789538 -0.516346  0.671178 -0.533182  0.985609  4.510086 -7.674412  6.244860
 2462911.5  73.88   0.1   6.9 18.71 17.20 0.997   0.1  0.05  4.437961  2.372450 -0.516501  2.253774 -0.533280  0.986229  4.510786 -7.659691  6.244815
 2462912.5  74.02   0.1   6.9 18.67 17.17 0.997   0.1  0.05  4.438607  3.955324 -0.516662  3.836367 -0.533378  0.986551  4.511491 -7.644975  6.244766
 2462913.5  74.15   0.1   6.9 18.64 17.14 0.997   0.1  0.06  4.439253  5.538161 -0.516829  5.418957 -0.533475  0.986577  4.512202 -7.630270  6.244714
 2462914.5  74.29   0.1   6.9 18.61 17.10 0.997   0.1  0.06  4.439899  0.837775 -0.517001  0.718360 -0.533573  0.986310  4.512919 -7.615578  6.244657
