 2455790.669683  6961  EMERSION V  8 17  4  4.3  6.9 216.  49. 218.  2.1 -0.4 0.79 261.
 2455792.490080   313  EMERSION V  8 18 23 45.7  7.0  99.  30. 238.  1.0 99.9 0.95 273.
 2455808.356176  4496 INMERSION V  9  3 20 32.9  6.7 227.  11.  78.  2.1 99.9 0.93 156.
 2455822.650157   848  EMERSION V  9 18  3 36.2  6.5 158.  69. 243.  2.0  1.4 0.58 246.
 2455823.492108  1112  EMERSION V  9 18 23 48.6  5.3  81.  25. 253. 99.9 99.9 0.94 328.
 2455824.499187  1404  EMERSION V  9 19 23 58.8  5.0  75.  18. 264. -1.2 99.9 0.91 199.
 2455842.266179  6444 INMERSION V 10  7 18 23.3  6.5 134.  29. 132. 99.9  0.8 0.93 104.
 2455843.319419  6635 INMERSION V 10  8 19 40.0  5.0 140.  37. 144. 99.9 99.9 0.97 120.
 2455843.424071  6646 INMERSION V 10  8 22 10.7  6.3 189.  46. 145.  2.1  0.4 0.55  75.
 2455844.474681  6839 INMERSION V 10  9 23 23.5  5.0 201.  49. 156.  2.8 -1.2 0.86  99.
 2455849.510970   777  EMERSION V 10 15  0 15.8  6.9 123.  59. 212. 99.9 99.9 0.94 227.
 2455852.546323  1725  EMERSION V 10 18  1  6.7  6.9  98.  43. 246.  0.7  3.1 0.80 228.
 2455866.220365  5471  EMERSION V 10 31 17 17.3  3.5 191.  28.  66.  1.8  0.1 0.23 250.
 2455870.328284  6589 INMERSION V 11  4 19 52.7  5.8 183.  45. 114. 99.9 99.9 0.93 351.
 2455872.413213  6961 INMERSION V 11  6 21 55.0  6.9 199.  53. 137. 99.9 99.9 0.93  44.
 2455879.335695  1558  EMERSION V 11 13 20  3.4  6.9  70.  11. 214.  0.4  0.1 0.77 311.
 2455879.396752  1585  EMERSION V 11 13 21 31.3  6.4  83.  26. 215.  0.1  2.1 0.78 240.
 2455881.735201  2539  EMERSION V 11 16  5 38.7  5.0 224.  61. 241.  1.7 -1.5 0.33 292.
 2455882.611480  2824  EMERSION V 11 17  2 40.5  5.9 120.  50. 252. 99.9 99.9 1.00 194.
 2455885.616511  3470  EMERSION V 11 20  2 47.8  6.0 104.  16. 290.  0.5  0.4 0.76 297.
 2455895.319888  6051 INMERSION V 11 29 19 40.6  6.1 233.  16.  59.  0.7 -0.2 0.66  59.
 2455898.416474  6711 INMERSION V 12  2 21 59.7  6.4 243.  26.  95. 99.9 99.9 0.98 117.
 2455900.348921   109 INMERSION V 12  4 20 22.4  6.8 196.  56. 116.  1.5 99.9 0.90  39.
 2455908.738507  2420  EMERSION V 12 13  5 43.5  6.9 259.  40. 210.  1.3 -1.0 0.71 262.
 2455912.691411  3435  EMERSION V 12 17  4 35.6  6.4 160.  49. 260.  1.5 -1.0 0.83 310.
 2455930.385990   589 INMERSION V  1  3 21 15.8  6.2 224.  61. 118. 99.9 99.9 1.00  39.
 2455931.359759   777 INMERSION V  1  4 20 38.0  6.9 179.  70. 129.  2.7 -1.6 0.68 114.
