   2453115.080556           1.8916815        + 10.556424       397603.008
   2453115.081250           1.8922064        + 10.560144       397605.053
   2453115.081944           1.8927314        + 10.563863       397607.098
   2453115.082639           1.8932563        + 10.567583       397609.142
   2453115.083333           1.8937812        + 10.571302       397611.187
   2453115.084028           1.8943061        + 10.575020       397613.231
   2453115.084722           1.8948311        + 10.578739       397615.275
   2453115.085417           1.8953560        + 10.582457       397617.319
   2453115.086111           1.8958810        + 10.586175       397619.363
   2453115.086806           1.8964060        + 10.589893       397621.407
   2453115.087500           1.8969309        + 10.593610       397623.450
   2453115.088194           1.8974559        + 10.597328       397625.494
   2453115.088889           1.8979809        + 10.601045       397627.537
   2453115.089583           1.8985059        + 10.604762       397629.580
   2453115.090278           1.8990309        + 10.608478       397631.623
   2453115.090972           1.8995559        + 10.612195       397633.666
   2453115.091667           1.9000809        + 10.615911       397635.708
   2453115.092361           1.9006060        + 10.619627       397637.751
   2453115.093056           1.9011310        + 10.623343       397639.793
   2453115.093750           1.9016560        + 10.627058       397641.836
   2453115.094444           1.9021811        + 10.630773       397643.878
   2453115.095139           1.9027061        + 10.634488       397645.920
   2453115.095833           1.9032312        + 10.638203       397647.961
   2453115.096528           1.9037563        + 10.641917       397650.003
   2453115.097222           1.9042813        + 10.645632       397652.045
   2453115.097917           1.9048064        + 10.649346       397654.086
   2453115.098611           1.9053315        + 10.653060       397656.127
   2453115.099306           1.9058566        + 10.656773       397658.168
   2453115.100000           1.9063817        + 10.660487       397660.209
   2453115.100694           1.9069068        + 10.664200       397662.250
   2453115.101389           1.9074320        + 10.667912       397664.291
   2453115.102083           1.9079571        + 10.671625       397666.331
   2453115.102778           1.9084822        + 10.675338       397668.371
   2453115.103472           1.9090074        + 10.679050       397670.412
   2453115.104167           1.9095325        + 10.682762       397672.452
   2453115.104861           1.9100577        + 10.686473       397674.492
   2453115.105556           1.9105828        + 10.690185       397676.531
   2453115.106250           1.9111080        + 10.693896       397678.571
   2453115.106944           1.9116332        + 10.697607       397680.610
   2453115.107639           1.9121584        + 10.701318       397682.650
   2453115.108333           1.9126836        + 10.705028       397684.689
   2453115.109028           1.9132088        + 10.708739       397686.728
   2453115.109722           1.9137340        + 10.712449       397688.767
   2453115.110417           1.9142592        + 10.716159       397690.806
   2453115.111111           1.9147844        + 10.719868       397692.844
   2453115.111806           1.9153097        + 10.723577       397694.883
   2453115.112500           1.9158349        + 10.727287       397696.921
   2453115.113194           1.9163602        + 10.730995       397698.959
   2453115.113889           1.9168854        + 10.734704       397700.997
   2453115.114583           1.9174107        + 10.738413       397703.035
   2453115.115278           1.9179359        + 10.742121       397705.073
   2453115.115972           1.9184612        + 10.745829       397707.110
   2453115.116667           1.9189865        + 10.749536       397709.148
   2453115.117361           1.9195118        + 10.753244       397711.185
   2453115.118056           1.9200371        + 10.756951       397713.222
   2453115.118750           1.9205624        + 10.760658       397715.259
   2453115.119444           1.9210877        + 10.764365       397717.296
   2453115.120139           1.9216130        + 10.768071       397719.333
   2453115.120833           1.9221384        + 10.771778       397721.369
   2453115.121528           1.9226637        + 10.775484       397723.406
   2453115.122222           1.9231891        + 10.779189       397725.442
   2453115.122917           1.9237144        + 10.782895       397727.478
   2453115.123611           1.9242398        + 10.786600       397729.514
   2453115.124306           1.9247651        + 10.790305       397731.550
   2453115.125000           1.9252905        + 10.794010       397733.585
   2453115.125694           1.9258159        + 10.797715       397735.621
   2453115.126389           1.9263413        + 10.801419       397737.656
   2453115.127083           1.9268667        + 10.805123       397739.692
   2453115.127778           1.9273921        + 10.808827       397741.727
   2453115.128472           1.9279175        + 10.812531       397743.762
   2453115.129167           1.9284429        + 10.816234       397745.796
   2453115.129861           1.9289683        + 10.819938       397747.831
   2453115.130556           1.9294938        + 10.823641       397749.866
   2453115.131250           1.9300192        + 10.827343       397751.900
   2453115.131944           1.9305447        + 10.831046       397753.934
   2453115.132639           1.9310701        + 10.834748       397755.968
   2453115.133333           1.9315956        + 10.838450       397758.002
   2453115.134028           1.9321211        + 10.842152       397760.036
   2453115.134722           1.9326466        + 10.845853       397762.069
   2453115.135417           1.9331721        + 10.849555       397764.103
   2453115.136111           1.9336975        + 10.853256       397766.136
   2453115.136806           1.9342230        + 10.856956       397768.169
   2453115.137500           1.9347486        + 10.860657       397770.202
   2453115.138194           1.9352741        + 10.864357       397772.235
   2453115.138889           1.9357996        + 10.868058       397774.268
   2453115.139583           1.9363251        + 10.871757       397776.301
   2453115.140278           1.9368507        + 10.875457       397778.333
   2453115.140972           1.9373762        + 10.879156       397780.365
   2453115.141667           1.9379018        + 10.882855       397782.397
   2453115.142361           1.9384274        + 10.886554       397784.429
   2453115.143056           1.9389529        + 10.890253       397786.461
   2453115.143750           1.9394785        + 10.893952       397788.493
   2453115.144444           1.9400041        + 10.897650       397790.524
   2453115.145139           1.9405297        + 10.901348       397792.556
   2453115.145833           1.9410553        + 10.905045       397794.587
   2453115.146528           1.9415809        + 10.908743       397796.618
   2453115.147222           1.9421065        + 10.912440       397798.649
   2453115.147917           1.9426322        + 10.916137       397800.680
   2453115.148611           1.9431578        + 10.919834       397802.711
   2453115.149306           1.9436834        + 10.923530       397804.741
   2453115.150000           1.9442091        + 10.927227       397806.771
   2453115.150694           1.9447347        + 10.930923       397808.802
   2453115.151389           1.9452604        + 10.934619       397810.832
   2453115.152083           1.9457861        + 10.938314       397812.862
   2453115.152778           1.9463118        + 10.942009       397814.891
   2453115.153472           1.9468374        + 10.945704       397816.921
   2453115.154167           1.9473631        + 10.949399       397818.950
   2453115.154861           1.9478888        + 10.953094       397820.980
   2453115.155556           1.9484146        + 10.956788       397823.009
   2453115.156250           1.9489403        + 10.960482       397825.038
   2453115.156944           1.9494660        + 10.964176       397827.067
   2453115.157639           1.9499917        + 10.967870       397829.096
   2453115.158333           1.9505175        + 10.971563       397831.124
   2453115.159028           1.9510432        + 10.975256       397833.153
   2453115.159722           1.9515690        + 10.978949       397835.181
   2453115.160417           1.9520947        + 10.982642       397837.209
   2453115.161111           1.9526205        + 10.986335       397839.237
   2453115.161806           1.9531463        + 10.990027       397841.265
   2453115.162500           1.9536721        + 10.993719       397843.292
   2453115.163194           1.9541979        + 10.997410       397845.320
   2453115.163889           1.9547237        + 11.001102       397847.347
   2453115.164583           1.9552495        + 11.004793       397849.375
   2453115.165278           1.9557753        + 11.008484       397851.402
   2453115.165972           1.9563011        + 11.012175       397853.429
   2453115.166667           1.9568270        + 11.015865       397855.455
