                                SIDEREAL TIME                                
     
                               Astrografo ROA                                
               Location:     0°00'00.0",   0°00'00.0",     0m                
   2451904.236111       23 58 09.7788 08.7736  23 58 09.7788 08.7736  -1.0052
   2451904.236806       23 59 09.9431 08.9379  23 59 09.9431 08.9379  -1.0052
   2451904.237500        0 00 10.1074 09.1022   0 00 10.1074 09.1022  -1.0052
   2451904.238194        0 01 10.2717 09.2664   0 01 10.2717 09.2664  -1.0052
   2451904.238889        0 02 10.4360 09.4308   0 02 10.4360 09.4308  -1.0052
   2451904.239583        0 03 10.6002 09.5950   0 03 10.6002 09.5950  -1.0052
   2451904.240278        0 04 10.7645 09.7593   0 04 10.7645 09.7593  -1.0052
   2451904.240972        0 05 10.9288 09.9236   0 05 10.9288 09.9236  -1.0052
   2451904.241667        0 06 11.0930 10.0879   0 06 11.0930 10.0879  -1.0052
   2451904.242361        0 07 11.2573 10.2521   0 07 11.2573 10.2521  -1.0052
   2451904.243056        0 08 11.4216 10.4164   0 08 11.4216 10.4164  -1.0052
   2451904.243750        0 09 11.5859 10.5807   0 09 11.5859 10.5807  -1.0052
   2451904.244444        0 10 11.7501 10.7450   0 10 11.7501 10.7450  -1.0052
   2451904.245139        0 11 11.9144 10.9092   0 11 11.9144 10.9092  -1.0052
   2451904.245833        0 12 12.0787 11.0735   0 12 12.0787 11.0735  -1.0051
   2451904.246528        0 13 12.2430 11.2378   0 13 12.2430 11.2378  -1.0051
   2451904.247222        0 14 12.4073 11.4021   0 14 12.4073 11.4021  -1.0051
   2451904.247917        0 15 12.5715 11.5664   0 15 12.5715 11.5664  -1.0051
   2451904.248611        0 16 12.7358 11.7307   0 16 12.7358 11.7307  -1.0051
   2451904.249306        0 17 12.9001 11.8949   0 17 12.9001 11.8949  -1.0051
   2451904.250000        0 18 13.0643 12.0592   0 18 13.0643 12.0592  -1.0051
   2451904.250694        0 19 13.2286 12.2235   0 19 13.2286 12.2235  -1.0051
   2451904.251389        0 20 13.3929 12.3878   0 20 13.3929 12.3878  -1.0051
   2451904.252083        0 21 13.5572 12.5521   0 21 13.5572 12.5521  -1.0051
   2451904.252778        0 22 13.7214 12.7163   0 22 13.7214 12.7163  -1.0051
   2451904.253472        0 23 13.8857 12.8806   0 23 13.8857 12.8806  -1.0051
   2451904.254167        0 24 14.0500 13.0449   0 24 14.0500 13.0449  -1.0051
   2451904.254861        0 25 14.2143 13.2092   0 25 14.2143 13.2092  -1.0051
   2451904.255556        0 26 14.3785 13.3735   0 26 14.3785 13.3735  -1.0051
   2451904.256250        0 27 14.5428 13.5377   0 27 14.5428 13.5377  -1.0051
   2451904.256944        0 28 14.7071 13.7020   0 28 14.7071 13.7020  -1.0051
   2451904.257639        0 29 14.8714 13.8663   0 29 14.8714 13.8663  -1.0051
   2451904.258333        0 30 15.0356 14.0306   0 30 15.0356 14.0306  -1.0051
   2451904.259028        0 31 15.1999 14.1949   0 31 15.1999 14.1949  -1.0051
   2451904.259722        0 32 15.3642 14.3591   0 32 15.3642 14.3591  -1.0050
   2451904.260417        0 33 15.5284 14.5234   0 33 15.5284 14.5234  -1.0050
   2451904.261111        0 34 15.6927 14.6877   0 34 15.6927 14.6877  -1.0050
   2451904.261806        0 35 15.8570 14.8520   0 35 15.8570 14.8520  -1.0050
   2451904.262500        0 36 16.0213 15.0163   0 36 16.0213 15.0163  -1.0050
   2451904.263194        0 37 16.1856 15.1806   0 37 16.1856 15.1806  -1.0050
   2451904.263889        0 38 16.3498 15.3448   0 38 16.3498 15.3448  -1.0050
   2451904.264583        0 39 16.5141 15.5091   0 39 16.5141 15.5091  -1.0050
   2451904.265278        0 40 16.6784 15.6734   0 40 16.6784 15.6734  -1.0050
   2451904.265972        0 41 16.8427 15.8377   0 41 16.8427 15.8377  -1.0050
   2451904.266667        0 42 17.0069 16.0019   0 42 17.0069 16.0019  -1.0050
   2451904.267361        0 43 17.1712 16.1662   0 43 17.1712 16.1662  -1.0050
   2451904.268056        0 44 17.3355 16.3305   0 44 17.3355 16.3305  -1.0050
   2451904.268750        0 45 17.4997 16.4948   0 45 17.4997 16.4948  -1.0050
   2451904.269444        0 46 17.6640 16.6590   0 46 17.6640 16.6590  -1.0050
   2451904.270139        0 47 17.8283 16.8234   0 47 17.8283 16.8234  -1.0050
   2451904.270833        0 48 17.9926 16.9876   0 48 17.9926 16.9876  -1.0050
   2451904.271528        0 49 18.1569 17.1519   0 49 18.1569 17.1519  -1.0050
   2451904.272222        0 50 18.3211 17.3162   0 50 18.3211 17.3162  -1.0050
   2451904.272917        0 51 18.4854 17.4805   0 51 18.4854 17.4805  -1.0049
   2451904.273611        0 52 18.6497 17.6447   0 52 18.6497 17.6447  -1.0049
   2451904.274306        0 53 18.8139 17.8090   0 53 18.8139 17.8090  -1.0049
   2451904.275000        0 54 18.9782 17.9733   0 54 18.9782 17.9733  -1.0049
   2451904.275694        0 55 19.1425 18.1376   0 55 19.1425 18.1376  -1.0049
   2451904.276389        0 56 19.3068 18.3018   0 56 19.3068 18.3018  -1.0049
   2451904.277083        0 57 19.4710 18.4661   0 57 19.4710 18.4661  -1.0049
   2451904.277778        0 58 19.6353 18.6304   0 58 19.6353 18.6304  -1.0049
   2451904.278472        0 59 19.7996 18.7947   0 59 19.7996 18.7947  -1.0049
   2451904.279167        1 00 19.9639 18.9590   1 00 19.9639 18.9590  -1.0049
   2451904.279861        1 01 20.1282 19.1233   1 01 20.1282 19.1233  -1.0049
   2451904.280556        1 02 20.2924 19.2875   1 02 20.2924 19.2875  -1.0049
   2451904.281250        1 03 20.4567 19.4518   1 03 20.4567 19.4518  -1.0049
   2451904.281944        1 04 20.6210 19.6161   1 04 20.6210 19.6161  -1.0049
   2451904.282639        1 05 20.7852 19.7804   1 05 20.7852 19.7804  -1.0049
   2451904.283333        1 06 20.9495 19.9446   1 06 20.9495 19.9446  -1.0049
   2451904.284028        1 07 21.1138 20.1089   1 07 21.1138 20.1089  -1.0049
   2451904.284722        1 08 21.2781 20.2732   1 08 21.2781 20.2732  -1.0049
   2451904.285417        1 09 21.4424 20.4375   1 09 21.4424 20.4375  -1.0049
   2451904.286111        1 10 21.6066 20.6018   1 10 21.6066 20.6018  -1.0048
   2451904.286806        1 11 21.7709 20.7661   1 11 21.7709 20.7661  -1.0048
   2451904.287500        1 12 21.9352 20.9303   1 12 21.9352 20.9303  -1.0048
   2451904.288194        1 13 22.0994 21.0946   1 13 22.0994 21.0946  -1.0048
   2451904.288889        1 14 22.2637 21.2589   1 14 22.2637 21.2589  -1.0048
   2451904.289583        1 15 22.4280 21.4232   1 15 22.4280 21.4232  -1.0048
   2451904.290278        1 16 22.5923 21.5874   1 16 22.5923 21.5874  -1.0048
   2451904.290972        1 17 22.7565 21.7517   1 17 22.7565 21.7517  -1.0048
   2451904.291667        1 18 22.9208 21.9160   1 18 22.9208 21.9160  -1.0048
   2451904.292361        1 19 23.0851 22.0803   1 19 23.0851 22.0803  -1.0048
   2451904.293056        1 20 23.2494 22.2446   1 20 23.2494 22.2446  -1.0048
   2451904.293750        1 21 23.4137 22.4089   1 21 23.4137 22.4089  -1.0048
   2451904.294444        1 22 23.5779 22.5731   1 22 23.5779 22.5731  -1.0048
   2451904.295139        1 23 23.7422 22.7374   1 23 23.7422 22.7374  -1.0048
   2451904.295833        1 24 23.9065 22.9017   1 24 23.9065 22.9017  -1.0048
   2451904.296528        1 25 24.0707 23.0660   1 25 24.0707 23.0660  -1.0048
   2451904.297222        1 26 24.2350 23.2302   1 26 24.2350 23.2302  -1.0048
   2451904.297917        1 27 24.3993 23.3945   1 27 24.3993 23.3945  -1.0048
   2451904.298611        1 28 24.5636 23.5588   1 28 24.5636 23.5588  -1.0048
   2451904.299306        1 29 24.7278 23.7231   1 29 24.7278 23.7231  -1.0048
   2451904.300000        1 30 24.8921 23.8873   1 30 24.8921 23.8873  -1.0047
   2451904.300694        1 31 25.0564 24.0516   1 31 25.0564 24.0516  -1.0047
   2451904.301389        1 32 25.2207 24.2159   1 32 25.2207 24.2159  -1.0047
   2451904.302083        1 33 25.3849 24.3802   1 33 25.3849 24.3802  -1.0047
   2451904.302778        1 34 25.5492 24.5445   1 34 25.5492 24.5445  -1.0047
   2451904.303472        1 35 25.7135 24.7088   1 35 25.7135 24.7088  -1.0047
   2451904.304167        1 36 25.8778 24.8730   1 36 25.8778 24.8730  -1.0047
   2451904.304861        1 37 26.0420 25.0373   1 37 26.0420 25.0373  -1.0047
   2451904.305556        1 38 26.2063 25.2016   1 38 26.2063 25.2016  -1.0047
   2451904.306250        1 39 26.3706 25.3659   1 39 26.3706 25.3659  -1.0047
   2451904.306944        1 40 26.5348 25.5301   1 40 26.5348 25.5301  -1.0047
   2451904.307639        1 41 26.6991 25.6944   1 41 26.6991 25.6944  -1.0047
   2451904.308333        1 42 26.8634 25.8587   1 42 26.8634 25.8587  -1.0047
   2451904.309028        1 43 27.0277 26.0230   1 43 27.0277 26.0230  -1.0047
   2451904.309722        1 44 27.1920 26.1873   1 44 27.1920 26.1873  -1.0047
   2451904.310417        1 45 27.3562 26.3516   1 45 27.3562 26.3516  -1.0047
   2451904.311111        1 46 27.5205 26.5158   1 46 27.5205 26.5158  -1.0047
   2451904.311806        1 47 27.6848 26.6801   1 47 27.6848 26.6801  -1.0047
   2451904.312500        1 48 27.8491 26.8444   1 48 27.8491 26.8444  -1.0047
   2451904.313194        1 49 28.0133 27.0087   1 49 28.0133 27.0087  -1.0046
   2451904.313889        1 50 28.1776 27.1729   1 50 28.1776 27.1729  -1.0046
   2451904.314583        1 51 28.3419 27.3372   1 51 28.3419 27.3372  -1.0046
   2451904.315278        1 52 28.5061 27.5015   1 52 28.5061 27.5015  -1.0046
   2451904.315972        1 53 28.6704 27.6658   1 53 28.6704 27.6658  -1.0046
   2451904.316667        1 54 28.8347 27.8301   1 54 28.8347 27.8301  -1.0046
   2451904.317361        1 55 28.9990 27.9944   1 55 28.9990 27.9944  -1.0046
   2451904.318056        1 56 29.1633 28.1586   1 56 29.1633 28.1586  -1.0046
   2451904.318750        1 57 29.3275 28.3229   1 57 29.3275 28.3229  -1.0046
   2451904.319444        1 58 29.4918 28.4872   1 58 29.4918 28.4872  -1.0046
   2451904.320139        1 59 29.6561 28.6515   1 59 29.6561 28.6515  -1.0046
   2451904.320833        2 00 29.8203 28.8158   2 00 29.8203 28.8158  -1.0046
   2451904.321528        2 01 29.9846 28.9800   2 01 29.9846 28.9800  -1.0046
   2451904.322222        2 02 30.1489 29.1443   2 02 30.1489 29.1443  -1.0046
   2451904.322917        2 03 30.3132 29.3086   2 03 30.3132 29.3086  -1.0046
   2451904.323611        2 04 30.4774 29.4729   2 04 30.4774 29.4729  -1.0046
   2451904.324306        2 05 30.6417 29.6372   2 05 30.6417 29.6372  -1.0046
   2451904.325000        2 06 30.8060 29.8014   2 06 30.8060 29.8014  -1.0046
   2451904.325694        2 07 30.9703 29.9657   2 07 30.9703 29.9657  -1.0046
   2451904.326389        2 08 31.1346 30.1300   2 08 31.1346 30.1300  -1.0046
   2451904.327083        2 09 31.2988 30.2943   2 09 31.2988 30.2943  -1.0045
   2451904.327778        2 10 31.4631 30.4586   2 10 31.4631 30.4586  -1.0045
   2451904.328472        2 11 31.6274 30.6228   2 11 31.6274 30.6228  -1.0045
   2451904.329167        2 12 31.7916 30.7871   2 12 31.7916 30.7871  -1.0045
   2451904.329861        2 13 31.9559 30.9514   2 13 31.9559 30.9514  -1.0045
   2451904.330556        2 14 32.1202 31.1157   2 14 32.1202 31.1157  -1.0045
   2451904.331250        2 15 32.2844 31.2799   2 15 32.2844 31.2799  -1.0045
   2451904.331944        2 16 32.4487 31.4442   2 16 32.4487 31.4442  -1.0045
   2451904.332639        2 17 32.6130 31.6085   2 17 32.6130 31.6085  -1.0045
   2451904.333333        2 18 32.7773 31.7728   2 18 32.7773 31.7728  -1.0045

