                                SIDEREAL TIME                                
     
                               Astrografo ROA                                
               Location:     0°00'00.0",   0°00'00.0",     0m                
   2455197.319444        2 21 26.3190 27.3225   2 21 26.3190 27.3225  +1.0035
   2455197.320139        2 22 26.4832 27.4867   2 22 26.4832 27.4867  +1.0035
   2455197.320833        2 23 26.6475 27.6510   2 23 26.6475 27.6510  +1.0035
   2455197.321528        2 24 26.8118 27.8153   2 24 26.8118 27.8153  +1.0035
   2455197.322222        2 25 26.9761 27.9796   2 25 26.9761 27.9796  +1.0035
   2455197.322917        2 26 27.1404 28.1439   2 26 27.1404 28.1439  +1.0035
   2455197.323611        2 27 27.3046 28.3082   2 27 27.3046 28.3082  +1.0035
   2455197.324306        2 28 27.4689 28.4725   2 28 27.4689 28.4725  +1.0036
   2455197.325000        2 29 27.6332 28.6367   2 29 27.6332 28.6367  +1.0036
   2455197.325694        2 30 27.7974 28.8010   2 30 27.7974 28.8010  +1.0036
   2455197.326389        2 31 27.9617 28.9653   2 31 27.9617 28.9653  +1.0036
   2455197.327083        2 32 28.1260 29.1296   2 32 28.1260 29.1296  +1.0036
   2455197.327778        2 33 28.2903 29.2939   2 33 28.2903 29.2939  +1.0036
   2455197.328472        2 34 28.4545 29.4581   2 34 28.4545 29.4581  +1.0036
   2455197.329167        2 35 28.6188 29.6224   2 35 28.6188 29.6224  +1.0036
   2455197.329861        2 36 28.7831 29.7867   2 36 28.7831 29.7867  +1.0036
   2455197.330556        2 37 28.9474 29.9510   2 37 28.9474 29.9510  +1.0036
   2455197.331250        2 38 29.1117 30.1153   2 38 29.1117 30.1153  +1.0036
   2455197.331944        2 39 29.2759 30.2796   2 39 29.2759 30.2796  +1.0036
   2455197.332639        2 40 29.4402 30.4438   2 40 29.4402 30.4438  +1.0037
   2455197.333333        2 41 29.6045 30.6081   2 41 29.6045 30.6081  +1.0037
   2455197.334028        2 42 29.7687 30.7724   2 42 29.7687 30.7724  +1.0037
   2455197.334722        2 43 29.9330 30.9367   2 43 29.9330 30.9367  +1.0037
   2455197.335417        2 44 30.0973 31.1010   2 44 30.0973 31.1010  +1.0037
   2455197.336111        2 45 30.2615 31.2652   2 45 30.2615 31.2652  +1.0037
   2455197.336806        2 46 30.4258 31.4295   2 46 30.4258 31.4295  +1.0037
   2455197.337500        2 47 30.5901 31.5938   2 47 30.5901 31.5938  +1.0037
   2455197.338194        2 48 30.7544 31.7581   2 48 30.7544 31.7581  +1.0037
   2455197.338889        2 49 30.9187 31.9224   2 49 30.9187 31.9224  +1.0037
   2455197.339583        2 50 31.0829 32.0867   2 50 31.0829 32.0867  +1.0037
   2455197.340278        2 51 31.2472 32.2510   2 51 31.2472 32.2510  +1.0037
   2455197.340972        2 52 31.4115 32.4152   2 52 31.4115 32.4152  +1.0038
   2455197.341667        2 53 31.5758 32.5795   2 53 31.5758 32.5795  +1.0038
   2455197.342361        2 54 31.7400 32.7438   2 54 31.7400 32.7438  +1.0038
   2455197.343056        2 55 31.9043 32.9081   2 55 31.9043 32.9081  +1.0038
   2455197.343750        2 56 32.0686 33.0724   2 56 32.0686 33.0724  +1.0038
   2455197.344444        2 57 32.2328 33.2366   2 57 32.2328 33.2366  +1.0038
   2455197.345139        2 58 32.3972 33.4010   2 58 32.3972 33.4010  +1.0038
   2455197.345833        2 59 32.5614 33.5652   2 59 32.5614 33.5652  +1.0038
   2455197.346528        3 00 32.7257 33.7295   3 00 32.7257 33.7295  +1.0038
   2455197.347222        3 01 32.8900 33.8938   3 01 32.8900 33.8938  +1.0038
   2455197.347917        3 02 33.0542 34.0581   3 02 33.0542 34.0581  +1.0038
   2455197.348611        3 03 33.2185 34.2224   3 03 33.2185 34.2224  +1.0038
   2455197.349306        3 04 33.3828 34.3866   3 04 33.3828 34.3866  +1.0039
   2455197.350000        3 05 33.5470 34.5509   3 05 33.5470 34.5509  +1.0039
   2455197.350694        3 06 33.7113 34.7152   3 06 33.7113 34.7152  +1.0039
   2455197.351389        3 07 33.8756 34.8795   3 07 33.8756 34.8795  +1.0039
   2455197.352083        3 08 34.0399 35.0437   3 08 34.0399 35.0437  +1.0039
   2455197.352778        3 09 34.2041 35.2080   3 09 34.2041 35.2080  +1.0039
   2455197.353472        3 10 34.3684 35.3723   3 10 34.3684 35.3723  +1.0039
   2455197.354167        3 11 34.5327 35.5366   3 11 34.5327 35.5366  +1.0039
   2455197.354861        3 12 34.6970 35.7009   3 12 34.6970 35.7009  +1.0039
   2455197.355556        3 13 34.8613 35.8652   3 13 34.8613 35.8652  +1.0039
   2455197.356250        3 14 35.0255 36.0295   3 14 35.0255 36.0295  +1.0039
   2455197.356944        3 15 35.1898 36.1937   3 15 35.1898 36.1937  +1.0039
   2455197.357639        3 16 35.3541 36.3580   3 16 35.3541 36.3580  +1.0040
   2455197.358333        3 17 35.5183 36.5223   3 17 35.5183 36.5223  +1.0040
   2455197.359028        3 18 35.6826 36.6866   3 18 35.6826 36.6866  +1.0040
   2455197.359722        3 19 35.8469 36.8509   3 19 35.8469 36.8509  +1.0040
   2455197.360417        3 20 36.0112 37.0151   3 20 36.0112 37.0151  +1.0040
   2455197.361111        3 21 36.1755 37.1795   3 21 36.1755 37.1795  +1.0040
   2455197.361806        3 22 36.3397 37.3437   3 22 36.3397 37.3437  +1.0040
   2455197.362500        3 23 36.5040 37.5080   3 23 36.5040 37.5080  +1.0040
   2455197.363194        3 24 36.6683 37.6723   3 24 36.6683 37.6723  +1.0040
   2455197.363889        3 25 36.8325 37.8366   3 25 36.8325 37.8366  +1.0040
   2455197.364583        3 26 36.9968 38.0009   3 26 36.9968 38.0009  +1.0040
   2455197.365278        3 27 37.1611 38.1651   3 27 37.1611 38.1651  +1.0040
   2455197.365972        3 28 37.3254 38.3294   3 28 37.3254 38.3294  +1.0041
   2455197.366667        3 29 37.4896 38.4937   3 29 37.4896 38.4937  +1.0041
   2455197.367361        3 30 37.6539 38.6580   3 30 37.6539 38.6580  +1.0041
   2455197.368056        3 31 37.8182 38.8223   3 31 37.8182 38.8223  +1.0041
   2455197.368750        3 32 37.9825 38.9866   3 32 37.9825 38.9866  +1.0041
   2455197.369444        3 33 38.1468 39.1509   3 33 38.1468 39.1509  +1.0041
   2455197.370139        3 34 38.3110 39.3151   3 34 38.3110 39.3151  +1.0041
   2455197.370833        3 35 38.4753 39.4794   3 35 38.4753 39.4794  +1.0041
   2455197.371528        3 36 38.6396 39.6437   3 36 38.6396 39.6437  +1.0041
   2455197.372222        3 37 38.8038 39.8080   3 37 38.8038 39.8080  +1.0041
   2455197.372917        3 38 38.9681 39.9723   3 38 38.9681 39.9723  +1.0041
   2455197.373611        3 39 39.1324 40.1365   3 39 39.1324 40.1365  +1.0041
   2455197.374306        3 40 39.2967 40.3008   3 40 39.2967 40.3008  +1.0042
   2455197.375000        3 41 39.4609 40.4651   3 41 39.4609 40.4651  +1.0042
   2455197.375694        3 42 39.6252 40.6294   3 42 39.6252 40.6294  +1.0042
   2455197.376389        3 43 39.7895 40.7937   3 43 39.7895 40.7937  +1.0042
   2455197.377083        3 44 39.9538 40.9580   3 44 39.9538 40.9580  +1.0042
   2455197.377778        3 45 40.1180 41.1222   3 45 40.1180 41.1222  +1.0042
   2455197.378472        3 46 40.2823 41.2865   3 46 40.2823 41.2865  +1.0042
   2455197.379167        3 47 40.4466 41.4508   3 47 40.4466 41.4508  +1.0042
   2455197.379861        3 48 40.6109 41.6151   3 48 40.6109 41.6151  +1.0042
   2455197.380556        3 49 40.7751 41.7794   3 49 40.7751 41.7794  +1.0042
   2455197.381250        3 50 40.9394 41.9436   3 50 40.9394 41.9436  +1.0042
   2455197.381944        3 51 41.1037 42.1079   3 51 41.1037 42.1079  +1.0042
   2455197.382639        3 52 41.2679 42.2722   3 52 41.2679 42.2722  +1.0043
   2455197.383333        3 53 41.4322 42.4365   3 53 41.4322 42.4365  +1.0043
   2455197.384028        3 54 41.5965 42.6008   3 54 41.5965 42.6008  +1.0043
   2455197.384722        3 55 41.7608 42.7651   3 55 41.7608 42.7651  +1.0043
   2455197.385417        3 56 41.9251 42.9294   3 56 41.9251 42.9294  +1.0043
   2455197.386111        3 57 42.0893 43.0936   3 57 42.0893 43.0936  +1.0043
   2455197.386806        3 58 42.2536 43.2579   3 58 42.2536 43.2579  +1.0043
   2455197.387500        3 59 42.4179 43.4222   3 59 42.4179 43.4222  +1.0043
   2455197.388194        4 00 42.5822 43.5865   4 00 42.5822 43.5865  +1.0043
   2455197.388889        4 01 42.7464 43.7508   4 01 42.7464 43.7508  +1.0043
   2455197.389583        4 02 42.9107 43.9150   4 02 42.9107 43.9150  +1.0043
   2455197.390278        4 03 43.0750 44.0793   4 03 43.0750 44.0793  +1.0043
   2455197.390972        4 04 43.2392 44.2436   4 04 43.2392 44.2436  +1.0044
   2455197.391667        4 05 43.4035 44.4079   4 05 43.4035 44.4079  +1.0044
   2455197.392361        4 06 43.5678 44.5722   4 06 43.5678 44.5722  +1.0044
   2455197.393056        4 07 43.7321 44.7365   4 07 43.7321 44.7365  +1.0044
   2455197.393750        4 08 43.8964 44.9008   4 08 43.8964 44.9008  +1.0044
   2455197.394444        4 09 44.0606 45.0650   4 09 44.0606 45.0650  +1.0044
   2455197.395139        4 10 44.2249 45.2293   4 10 44.2249 45.2293  +1.0044
   2455197.395833        4 11 44.3892 45.3936   4 11 44.3892 45.3936  +1.0044
   2455197.396528        4 12 44.5534 45.5579   4 12 44.5534 45.5579  +1.0044
   2455197.397222        4 13 44.7177 45.7221   4 13 44.7177 45.7221  +1.0044
   2455197.397917        4 14 44.8820 45.8864   4 14 44.8820 45.8864  +1.0044
   2455197.398611        4 15 45.0463 46.0507   4 15 45.0463 46.0507  +1.0044
   2455197.399306        4 16 45.2105 46.2150   4 16 45.2105 46.2150  +1.0045
   2455197.400000        4 17 45.3748 46.3793   4 17 45.3748 46.3793  +1.0045
   2455197.400694        4 18 45.5391 46.5436   4 18 45.5391 46.5436  +1.0045
   2455197.401389        4 19 45.7034 46.7079   4 19 45.7034 46.7079  +1.0045
   2455197.402083        4 20 45.8677 46.8721   4 20 45.8677 46.8721  +1.0045
   2455197.402778        4 21 46.0319 47.0364   4 21 46.0319 47.0364  +1.0045
   2455197.403472        4 22 46.1962 47.2007   4 22 46.1962 47.2007  +1.0045
   2455197.404167        4 23 46.3605 47.3650   4 23 46.3605 47.3650  +1.0045
   2455197.404861        4 24 46.5247 47.5293   4 24 46.5247 47.5293  +1.0045
   2455197.405556        4 25 46.6890 47.6935   4 25 46.6890 47.6935  +1.0045
   2455197.406250        4 26 46.8533 47.8578   4 26 46.8533 47.8578  +1.0045
   2455197.406944        4 27 47.0176 48.0221   4 27 47.0176 48.0221  +1.0045
   2455197.407639        4 28 47.1819 48.1864   4 28 47.1819 48.1864  +1.0046
   2455197.408333        4 29 47.3461 48.3507   4 29 47.3461 48.3507  +1.0046
   2455197.409028        4 30 47.5104 48.5150   4 30 47.5104 48.5150  +1.0046
   2455197.409722        4 31 47.6747 48.6793   4 31 47.6747 48.6793  +1.0046
   2455197.410417        4 32 47.8389 48.8435   4 32 47.8389 48.8435  +1.0046
   2455197.411111        4 33 48.0032 49.0078   4 33 48.0032 49.0078  +1.0046
   2455197.411806        4 34 48.1675 49.1721   4 34 48.1675 49.1721  +1.0046
   2455197.412500        4 35 48.3318 49.3364   4 35 48.3318 49.3364  +1.0046
   2455197.413194        4 36 48.4960 49.5007   4 36 48.4960 49.5007  +1.0046
   2455197.413889        4 37 48.6603 49.6649   4 37 48.6603 49.6649  +1.0046
   2455197.414583        4 38 48.8246 49.8292   4 38 48.8246 49.8292  +1.0046
   2455197.415278        4 39 48.9888 49.9935   4 39 48.9888 49.9935  +1.0046
   2455197.415972        4 40 49.1532 50.1578   4 40 49.1532 50.1578  +1.0047
   2455197.416667        4 41 49.3174 50.3221   4 41 49.3174 50.3221  +1.0047

