   2456599.967361       14 04 30.2333 30.7791  14 04 30.2333 30.7791  +0.5458
   2456599.968056       14 05 30.3976 30.9435  14 05 30.3976 30.9435  +0.5458
   2456599.968750       14 06 30.5619 31.1077  14 06 30.5619 31.1077  +0.5458
   2456599.969445       14 07 30.7262 31.2720  14 07 30.7262 31.2720  +0.5458
   2456599.970139       14 08 30.8904 31.4363  14 08 30.8904 31.4363  +0.5458
   2456599.970834       14 09 31.0547 31.6005  14 09 31.0547 31.6005  +0.5458
   2456599.971528       14 10 31.2190 31.7648  14 10 31.2190 31.7648  +0.5458
   2456599.972222       14 11 31.3833 31.9291  14 11 31.3833 31.9291  +0.5458
   2456599.972917       14 12 31.5475 32.0934  14 12 31.5475 32.0934  +0.5458
   2456599.973611       14 13 31.7118 32.2576  14 13 31.7118 32.2576  +0.5458
   2456599.974306       14 14 31.8761 32.4219  14 14 31.8761 32.4219  +0.5458
   2456599.975000       14 15 32.0403 32.5862  14 15 32.0403 32.5862  +0.5458
   2456599.975695       14 16 32.2047 32.7505  14 16 32.2047 32.7505  +0.5458
   2456599.976389       14 17 32.3689 32.9147  14 17 32.3689 32.9147  +0.5458
   2456599.977084       14 18 32.5332 33.0790  14 18 32.5332 33.0790  +0.5458
   2456599.977778       14 19 32.6975 33.2433  14 19 32.6975 33.2433  +0.5458
   2456599.978472       14 20 32.8617 33.4076  14 20 32.8617 33.4076  +0.5458
   2456599.979167       14 21 33.0260 33.5718  14 21 33.0260 33.5718  +0.5458
   2456599.979861       14 22 33.1903 33.7361  14 22 33.1903 33.7361  +0.5458
   2456599.980556       14 23 33.3545 33.9004  14 23 33.3545 33.9004  +0.5458
   2456599.981250       14 24 33.5188 34.0646  14 24 33.5188 34.0646  +0.5458
   2456599.981945       14 25 33.6831 34.2289  14 25 33.6831 34.2289  +0.5458
   2456599.982639       14 26 33.8474 34.3932  14 26 33.8474 34.3932  +0.5458
   2456599.983334       14 27 34.0117 34.5575  14 27 34.0117 34.5575  +0.5458
   2456599.984028       14 28 34.1759 34.7218  14 28 34.1759 34.7218  +0.5458
   2456599.984722       14 29 34.3402 34.8860  14 29 34.3402 34.8860  +0.5458
   2456599.985417       14 30 34.5045 35.0503  14 30 34.5045 35.0503  +0.5458
   2456599.986111       14 31 34.6688 35.2146  14 31 34.6688 35.2146  +0.5458
   2456599.986806       14 32 34.8330 35.3788  14 32 34.8330 35.3788  +0.5458
   2456599.987500       14 33 34.9973 35.5431  14 33 34.9973 35.5431  +0.5458
